x	y	label	angle	showSelected1	showSelected2	group
0	0.5	District.Leadership.Team.Members	90	District.Leadership.Team.Members	District.Leadership.Team.Members	13
0	0.5	District.Leadership.Team.Members	90	District.Contact.Person	District.Leadership.Team.Members	46
0	0.5	District.Leadership.Team.Members	90	Building.Leadership.Team.Members	District.Leadership.Team.Members	79
0	0.5	District.Leadership.Team.Members	90	Other.District.Administrators	District.Leadership.Team.Members	112
0	0.5	District.Leadership.Team.Members	90	Other.Building.Administrators	District.Leadership.Team.Members	145
0	0.5	District.Leadership.Team.Members	90	Building.level.Educators	District.Leadership.Team.Members	178
0	0.5	District.Leadership.Team.Members	90	RPDC.Director	District.Leadership.Team.Members	211
0	0.5	District.Leadership.Team.Members	90	Area.Supervisor	District.Leadership.Team.Members	244
0	0.5	District.Leadership.Team.Members	90	Parents	District.Leadership.Team.Members	277
0	0.5	District.Leadership.Team.Members	90	Collaborative.teams	District.Leadership.Team.Members	310
0	0.5	District.Leadership.Team.Members	90	Common.formative.assessment	District.Leadership.Team.Members	343
0	0.5	District.Leadership.Team.Members	90	Data.based.decision.making	District.Leadership.Team.Members	376
0	0.5	District.Leadership.Team.Members	90	Effective.teaching.learning.practices	District.Leadership.Team.Members	409
0	0.5	District.Leadership.Team.Members	90	Instructional.Leadership	District.Leadership.Team.Members	442
0	0.5	District.Leadership.Team.Members	90	School.based.implementation.coaching	District.Leadership.Team.Members	475
0	0.5	District.Leadership.Team.Members	90	Collective.teacher.efficacy	District.Leadership.Team.Members	508
0	0.5	District.Leadership.Team.Members	90	MMD.DCI.expectations.logistics.DESE.specifics	District.Leadership.Team.Members	541
0	0.5	District.Leadership.Team.Members	90	Alignment.and.systems.planning	District.Leadership.Team.Members	574
0	0.5	District.Leadership.Team.Members	90	Practice.profiles	District.Leadership.Team.Members	607
0	0.5	District.Leadership.Team.Members	90	Self.assessment.practice.profile..SAPP.	District.Leadership.Team.Members	640
0	0.5	District.Leadership.Team.Members	90	Learning.module.materials..i.e..power.points..handouts.	District.Leadership.Team.Members	673
0	0.5	District.Leadership.Team.Members	90	DESE.virtual.learning.platform	District.Leadership.Team.Members	706
0	0.5	District.Leadership.Team.Members	90	Review.of.CFA.data	District.Leadership.Team.Members	739
0	0.5	District.Leadership.Team.Members	90	CWIS	District.Leadership.Team.Members	772
0	0.5	District.Leadership.Team.Members	90	Distance.Learning	District.Leadership.Team.Members	805
0	0.5	District.Leadership.Team.Members	90	Virtual.Learning.Modules.and.or.PowerPoints	District.Leadership.Team.Members	838
0	0.5	District.Leadership.Team.Members	90	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	District.Leadership.Team.Members	871
0	0.5	District.Leadership.Team.Members	90	Interaction.Type_Virtual	District.Leadership.Team.Members	904
0	0.5	District.Leadership.Team.Members	90	Interaction.Type_In-person	District.Leadership.Team.Members	937
0	0.5	District.Leadership.Team.Members	90	Interaction.Type_In-person and virtual	District.Leadership.Team.Members	970
0	0.5	District.Leadership.Team.Members	90	Interaction.Type_Phone	District.Leadership.Team.Members	1003
0	0.5	District.Leadership.Team.Members	90	Interaction.Type_Unknown	District.Leadership.Team.Members	1036
2.42857142857143	0.5	District.Leadership.Team.Members	90	ETLP_avg	District.Leadership.Team.Members	1069
0	0.5	District.Contact.Person	90	District.Leadership.Team.Members	District.Contact.Person	12
0	0.5	District.Contact.Person	90	District.Contact.Person	District.Contact.Person	45
0	0.5	District.Contact.Person	90	Building.Leadership.Team.Members	District.Contact.Person	78
0	0.5	District.Contact.Person	90	Other.District.Administrators	District.Contact.Person	111
0	0.5	District.Contact.Person	90	Other.Building.Administrators	District.Contact.Person	144
0	0.5	District.Contact.Person	90	Building.level.Educators	District.Contact.Person	177
0	0.5	District.Contact.Person	90	RPDC.Director	District.Contact.Person	210
0	0.5	District.Contact.Person	90	Area.Supervisor	District.Contact.Person	243
0	0.5	District.Contact.Person	90	Parents	District.Contact.Person	276
0	0.5	District.Contact.Person	90	Collaborative.teams	District.Contact.Person	309
0	0.5	District.Contact.Person	90	Common.formative.assessment	District.Contact.Person	342
0	0.5	District.Contact.Person	90	Data.based.decision.making	District.Contact.Person	375
0	0.5	District.Contact.Person	90	Effective.teaching.learning.practices	District.Contact.Person	408
0	0.5	District.Contact.Person	90	Instructional.Leadership	District.Contact.Person	441
0	0.5	District.Contact.Person	90	School.based.implementation.coaching	District.Contact.Person	474
0	0.5	District.Contact.Person	90	Collective.teacher.efficacy	District.Contact.Person	507
0	0.5	District.Contact.Person	90	MMD.DCI.expectations.logistics.DESE.specifics	District.Contact.Person	540
0	0.5	District.Contact.Person	90	Alignment.and.systems.planning	District.Contact.Person	573
0	0.5	District.Contact.Person	90	Practice.profiles	District.Contact.Person	606
0	0.5	District.Contact.Person	90	Self.assessment.practice.profile..SAPP.	District.Contact.Person	639
0	0.5	District.Contact.Person	90	Learning.module.materials..i.e..power.points..handouts.	District.Contact.Person	672
0	0.5	District.Contact.Person	90	DESE.virtual.learning.platform	District.Contact.Person	705
0	0.5	District.Contact.Person	90	Review.of.CFA.data	District.Contact.Person	738
0	0.5	District.Contact.Person	90	CWIS	District.Contact.Person	771
0	0.5	District.Contact.Person	90	Distance.Learning	District.Contact.Person	804
0	0.5	District.Contact.Person	90	Virtual.Learning.Modules.and.or.PowerPoints	District.Contact.Person	837
0	0.5	District.Contact.Person	90	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	District.Contact.Person	870
0	0.5	District.Contact.Person	90	Interaction.Type_Virtual	District.Contact.Person	903
0	0.5	District.Contact.Person	90	Interaction.Type_In-person	District.Contact.Person	936
0	0.5	District.Contact.Person	90	Interaction.Type_In-person and virtual	District.Contact.Person	969
0	0.5	District.Contact.Person	90	Interaction.Type_Phone	District.Contact.Person	1002
0	0.5	District.Contact.Person	90	Interaction.Type_Unknown	District.Contact.Person	1035
2.42857142857143	0.5	District.Contact.Person	90	ETLP_avg	District.Contact.Person	1068
0	0.5	Building.Leadership.Team.Members	90	District.Leadership.Team.Members	Building.Leadership.Team.Members	3
0	0.5	Building.Leadership.Team.Members	90	District.Contact.Person	Building.Leadership.Team.Members	36
0	0.5	Building.Leadership.Team.Members	90	Building.Leadership.Team.Members	Building.Leadership.Team.Members	69
0	0.5	Building.Leadership.Team.Members	90	Other.District.Administrators	Building.Leadership.Team.Members	102
0	0.5	Building.Leadership.Team.Members	90	Other.Building.Administrators	Building.Leadership.Team.Members	135
0	0.5	Building.Leadership.Team.Members	90	Building.level.Educators	Building.Leadership.Team.Members	168
0	0.5	Building.Leadership.Team.Members	90	RPDC.Director	Building.Leadership.Team.Members	201
0	0.5	Building.Leadership.Team.Members	90	Area.Supervisor	Building.Leadership.Team.Members	234
0	0.5	Building.Leadership.Team.Members	90	Parents	Building.Leadership.Team.Members	267
0	0.5	Building.Leadership.Team.Members	90	Collaborative.teams	Building.Leadership.Team.Members	300
0	0.5	Building.Leadership.Team.Members	90	Common.formative.assessment	Building.Leadership.Team.Members	333
0	0.5	Building.Leadership.Team.Members	90	Data.based.decision.making	Building.Leadership.Team.Members	366
