x	y	PANEL
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	1	2
0	2	2
0	3	2
0	4	2
0.0169585047016601	5	2
0	1	2
0	2	2
0	3	2
0	4	2
0	5	2
0	1	2
0	2	2
0	3	2
0	4	2
0	5	2
0	1	2
0	2	2
0	3	2
0	4	2
0	5	2
0	1	2
0	2	2
0	3	2
0	4	2
0	5	2
0.00398715574979678	1	2
0	2	2
0	3	2
0.00234872818564496	4	2
0	5	2
0	1	2
0	2	2
0	3	2
0	4	2
0	5	2
0	1	2
0	2	2
0	3	2
0	4	2
0	5	2
0	1	2
0	2	2
0	3	2
0	4	2
0	5	2
0	1	2
0.0326179446905381	2	2
0.0292752259450822	3	2
0	4	2
0	5	2
0.00750267190286657	1	3
0	2	3
-0.00435000357895557	3	3
0	1	3
0	2	3
0	3	3
0	1	3
0	2	3
0	3	3
0	1	3
0	2	3
0	3	3
0	1	3
0.0116810846346778	2	3
0	3	3
0	1	3
1.32550129562755e-05	2	3
0	3	3
0	1	3
0	2	3
0	3	3
0	1	3
0	2	3
0	3	3
0	1	3
0	2	3
0	3	3
0.0105898628237178	1	3
0	2	3
-0.0315047017303347	3	3
-0.0363117604004016	1	4
-0.00340346691790326	2	4
0.0630232116967394	3	4
0	1	4
0	2	4
0	3	4
0	1	4
0	2	4
0	3	4
0	1	4
0	2	4
0	3	4
-0.0131183698507601	1	4
-0.00377034635347367	2	4
0	3	4
-0.0179633255702363	1	4
-0.00619079761878947	2	4
0.0285620994638033	3	4
0	1	4
0	2	4
0	3	4
0	1	4
0	2	4
0.0179798382908035	3	4
0	1	4
0	2	4
0	3	4
-0.055376000804553	1	4
-0.00262378554225502	2	4
0.068157421711373	3	4
0	1	5
0.0267383665762195	2	5
-0.0313823527892081	3	5
0	1	5
0	2	5
0	3	5
-0.0447611201498145	1	5
0.00720556883844476	2	5
-0.00109228234673019	3	5
0	1	5
0	2	5
0	3	5
-0.00335924803085408	1	5
0	2	5
-0.012890433391333	3	5
0	1	5
0.0121093070180065	2	5
-0.0397217533105029	3	5
0	1	5
0	2	5
0	3	5
-0.00821145781775169	1	5
0.011717655426826	2	5
0	3	5
-0.00107258309185162	1	5
0	2	5
0	3	5
-0.0442398981836045	1	5
0.0222967495711527	2	5
-0.019491320217766	3	5
-0.0274106119837609	1	6
0.013111837886255	2	6
0	1	6
0.0281999993174772	2	6
-0.00815806884289347	1	6
0.0239342556866522	2	6
0	1	6
0.0215990614676847	2	6
-0.00805272719809291	1	6
0	2	6
-0.0223390012636458	1	6
0.0391291911689789	2	6
-0.032978455458219	1	6
0.0112132672302639	2	6
-0.00146358336298114	1	6
0.020215605605276	2	6
0	1	6
0	2	6
-0.0422263571202838	1	6
0	2	6
0.0374575583998414	1	7
0.0185350331999413	1	7
0.0440991099451155	1	7
0.0404912640014036	1	7
0.0109789876639065	1	7
0.0502646593632341	1	7
0.0488795653588439	1	7
0.0170336585663426	1	7
0	1	7
0.0367900914436267	1	7
-0.0355267467089294	1	8
-0.0638874948195424	4	8
-0.0589398346817324	2	8
-0.0590620880920912	3	8
0.0306873929383361	5	8
-0.0262296958623762	1	8
-0.025399106938697	4	8
-0.0240160004279499	2	8
-0.0733742965131237	3	8
0.00754930483043382	5	8
-0.0255402213694719	1	8
-0.0313964721553949	4	8
-0.0216209546981076	2	8
-0.0602900921479621	3	8
0.0217886655358007	5	8
-0.0151950200310597	1	8
-0.0321029048012633	4	8
-0.0363166365958962	2	8
-0.0584653604964283	3	8
0.0323085047772459	5	8
-0.0434597199158982	1	8
-0.00540099723571987	4	8
-0.0267547088668797	2	8
-0.0601527315606271	3	8
0.0175370124415293	5	8
-0.0373530375376747	1	8
-0.0624324977070873	4	8
-0.0915377880894239	2	8
-0.0505304977413126	3	8
0.0324456769075019	5	8
-0.00195559084662145	1	8
-0.0281672146366811	4	8
-0.0393218930267839	2	8
-0.0692765329467753	3	8
0.0230364379739671	5	8
-0.0447083731118233	1	8
-0.0304689078547451	4	8
-0.0481863840238744	2	8
-0.0721086768008221	3	8
0.0281522305370818	5	8
-0.00247159291577816	1	8
-0.031791779663664	4	8
-0.0296846943335414	2	8
-0.0487295040724562	3	8
0.0220548147584337	5	8
-0.0593894695399747	1	8
-0.0830334629840427	4	8
-0.0702876708463871	2	8
-0.0745815133959139	3	8
0.0562530986338292	5	8
