x	y	tooltip	PANEL
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	1	0	1
0	2	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	1	0	2
0	2	0	2
0	1	0	2
0	2	0	2
0	1	0	2
0	2	0	2
0	1	0	2
0	2	0	2
0.00195915081686213	1	0.00195915081686213	2
-0.00204860373823777	2	-0.00204860373823777	2
0	1	0	2
0	2	0	2
0	1	0	2
0	2	0	2
0	1	0	2
0	2	0	2
0	1	0	2
0	2	0	2
0	1	0	2
0	2	0	2
-0.00158542865910012	1	-0.00158542865910012	3
0	2	0	3
0	1	0	3
0	2	0	3
0	1	0	3
0	2	0	3
0	1	0	3
0.00110541474317144	2	0.00110541474317144	3
-0.0031394177101206	1	-0.0031394177101206	3
0.00554812769124003	2	0.00554812769124003	3
0	1	0	3
0	2	0	3
0	1	0	3
0	2	0	3
0	1	0	3
0	2	0	3
0	1	0	3
0	2	0	3
0	1	0	3
0	2	0	3
