x	xend	y	yend	clickSelects	PANEL
-0.0495373898479245	0.0324135360493799	1	1	District.Contact.Person	1
-0.0495373898479245	0.0324135360493799	2	2	Instructional.Leadership	1
-0.0495373898479245	0.0324135360493799	3	3	Interaction.Type_Phone	1
-0.0495373898479245	0.0324135360493799	4	4	Interaction.Type_Virtual	1
-0.0495373898479245	0.0324135360493799	5	5	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	1
-0.0495373898479245	0.0324135360493799	6	6	Other.Building.Administrators	1
-0.0495373898479245	0.0324135360493799	7	7	Other.District.Administrators	1
-0.0495373898479245	0.0324135360493799	8	8	Parents	1
-0.0495373898479245	0.0324135360493799	9	9	Self.assessment.practice.profile..SAPP.	1
-0.0495373898479245	0.0324135360493799	10	10	Virtual.Learning.Modules.and.or.PowerPoints	1
-0.0495373898479245	0.0324135360493799	1	1	Building.Leadership.Team.Members	2
-0.0495373898479245	0.0324135360493799	2	2	DESE.virtual.learning.platform	2
-0.0495373898479245	0.0324135360493799	1	1	Interaction.Type_Unknown	3
-0.0495373898479245	0.0324135360493799	2	2	Review.of.CFA.data	3
-0.0495373898479245	0.0324135360493799	1	1	Area.Supervisor	4
-0.0495373898479245	0.0324135360493799	2	2	Collective.teacher.efficacy	4
-0.0495373898479245	0.0324135360493799	1	1	Alignment.and.systems.planning	5
-0.0495373898479245	0.0324135360493799	2	2	Data.based.decision.making	5
-0.0495373898479245	0.0324135360493799	3	3	MMD.DCI.expectations.logistics.DESE.specifics	5
-0.0495373898479245	0.0324135360493799	1	1	Learning.module.materials..i.e..power.points..handouts.	6
-0.0495373898479245	0.0324135360493799	1	1	District.Leadership.Team.Members	7
-0.0495373898479245	0.0324135360493799	1	1	Distance.Learning	8
-0.0495373898479245	0.0324135360493799	2	2	Practice.profiles	8
-0.0495373898479245	0.0324135360493799	1	1	CWIS	9
-0.0495373898479245	0.0324135360493799	2	2	RPDC.Director	9
-0.0495373898479245	0.0324135360493799	1	1	Effective.teaching.learning.practices	10
-0.0495373898479245	0.0324135360493799	1	1	Building.level.Educators	11
-0.0495373898479245	0.0324135360493799	2	2	Collaborative.teams	11
-0.0495373898479245	0.0324135360493799	3	3	Common.formative.assessment	11
-0.0495373898479245	0.0324135360493799	4	4	School.based.implementation.coaching	11
