group	fill	y	ymin	ymax	colour
1	#FFE5DB	4	3.5	4.5	#FFE5DB
2	#FAF6FF	18	17.5	18.5	#FAF6FF
3	#F8F2FF	14	13.5	14.5	#F8F2FF
4	#F1E7FF	7	6.5	7.5	#F1E7FF
5	#FEFDFF	27	26.5	27.5	#FEFDFF
6	#FBF8FF	20	19.5	20.5	#FBF8FF
7	#FEFEFF	29	28.5	29.5	#FEFEFF
8	#FCFAFF	23	22.5	23.5	#FCFAFF
9	#FFFEFD	28	27.5	28.5	#FFFEFD
10	#FBF8FF	19	18.5	19.5	#FBF8FF
11	#FFFDFC	26	25.5	26.5	#FFFDFC
12	#FFE6DC	5	4.5	5.5	#FFE6DC
13	#FFF7F4	17	16.5	17.5	#FFF7F4
14	#F4ECFF	12	11.5	12.5	#F4ECFF
15	#FFCBB9	2	1.5	2.5	#FFCBB9
16	#F8F3FF	15	14.5	15.5	#F8F3FF
17	#FDFBFF	24	23.5	24.5	#FDFBFF
18	#FFFAF8	21	20.5	21.5	#FFFAF8
19	#FF0000	1	0.5	1.5	#FF0000
20	#FFE9E1	6	5.5	6.5	#FFE9E1
21	#FFF5F2	16	15.5	16.5	#FFF5F2
22	#F7F1FF	13	12.5	13.5	#F7F1FF
23	#F3EBFF	9	8.5	9.5	#F3EBFF
24	#FDFBFF	25	24.5	25.5	#FDFBFF
25	#FFFEFE	30	29.5	30.5	#FFFEFE
26	#FFEFE9	10	9.5	10.5	#FFEFE9
27	#FFF0EA	11	10.5	11.5	#FFF0EA
28	#FCF9FF	22	21.5	22.5	#FCF9FF
29	#F2E8FF	8	7.5	8.5	#F2E8FF
30	#FFD1C1	3	2.5	3.5	#FFD1C1
