x	y	label	showSelected1	group
2	11	Alignment.and.systems.planning	District.Leadership.Team.Members	1
2	8	Alignment.and.systems.planning	District.Contact.Person	2
2	23	Alignment.and.systems.planning	Building.Leadership.Team.Members	3
2	7	Alignment.and.systems.planning	Other.District.Administrators	4
2	14	Alignment.and.systems.planning	Other.Building.Administrators	5
2	18	Alignment.and.systems.planning	Building.level.Educators	6
2	3	Alignment.and.systems.planning	RPDC.Director	7
2	2	Alignment.and.systems.planning	Area.Supervisor	8
2	4	Alignment.and.systems.planning	Parents	9
2	19	Alignment.and.systems.planning	Collaborative.teams	10
2	23	Alignment.and.systems.planning	Common.formative.assessment	11
2	16	Alignment.and.systems.planning	Data.based.decision.making	12
2	22	Alignment.and.systems.planning	Effective.teaching.learning.practices	13
2	3	Alignment.and.systems.planning	Instructional.Leadership	14
2	16	Alignment.and.systems.planning	School.based.implementation.coaching	15
2	17	Alignment.and.systems.planning	Collective.teacher.efficacy	16
2	7	Alignment.and.systems.planning	MMD.DCI.expectations.logistics.DESE.specifics	17
2	1	Alignment.and.systems.planning	Alignment.and.systems.planning	18
2	25	Alignment.and.systems.planning	Practice.profiles	19
2	8	Alignment.and.systems.planning	Self.assessment.practice.profile..SAPP.	20
2	19	Alignment.and.systems.planning	Learning.module.materials..i.e..power.points..handouts.	21
2	6	Alignment.and.systems.planning	DESE.virtual.learning.platform	22
2	29	Alignment.and.systems.planning	Review.of.CFA.data	23
2	7	Alignment.and.systems.planning	CWIS	24
2	24	Alignment.and.systems.planning	Distance.Learning	25
2	19	Alignment.and.systems.planning	Virtual.Learning.Modules.and.or.PowerPoints	26
2	4	Alignment.and.systems.planning	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	27
2	10	Alignment.and.systems.planning	Interaction.Type_Virtual	28
2	20	Alignment.and.systems.planning	Interaction.Type_In-person	29
2	25	Alignment.and.systems.planning	Interaction.Type_In-person and virtual	30
2	19	Alignment.and.systems.planning	Interaction.Type_Phone	31
2	18	Alignment.and.systems.planning	Interaction.Type_Unknown	32
2	30	Area.Supervisor	District.Leadership.Team.Members	1
2	24	Area.Supervisor	District.Contact.Person	2
2	28	Area.Supervisor	Building.Leadership.Team.Members	3
2	23	Area.Supervisor	Other.District.Administrators	4
2	7	Area.Supervisor	Other.Building.Administrators	5
2	30	Area.Supervisor	Building.level.Educators	6
2	9	Area.Supervisor	RPDC.Director	7
2	1	Area.Supervisor	Area.Supervisor	8
2	28	Area.Supervisor	Parents	9
2	29	Area.Supervisor	Collaborative.teams	10
2	21	Area.Supervisor	Common.formative.assessment	11
2	25	Area.Supervisor	Data.based.decision.making	12
2	30	Area.Supervisor	Effective.teaching.learning.practices	13
2	17	Area.Supervisor	Instructional.Leadership	14
2	22	Area.Supervisor	School.based.implementation.coaching	15
2	21	Area.Supervisor	Collective.teacher.efficacy	16
2	19	Area.Supervisor	MMD.DCI.expectations.logistics.DESE.specifics	17
2	9	Area.Supervisor	Alignment.and.systems.planning	18
2	27	Area.Supervisor	Practice.profiles	19
2	18	Area.Supervisor	Self.assessment.practice.profile..SAPP.	20
2	16	Area.Supervisor	Learning.module.materials..i.e..power.points..handouts.	21
2	17	Area.Supervisor	DESE.virtual.learning.platform	22
2	26	Area.Supervisor	Review.of.CFA.data	23
