x	y	label	clickSelects	showSelected1	group
2	10.7	Alignment.and.systems.planning	Alignment.and.systems.planning	District.Leadership.Team.Members	1
2	7.7	Alignment.and.systems.planning	Alignment.and.systems.planning	District.Contact.Person	2
2	22.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Building.Leadership.Team.Members	3
2	6.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Other.District.Administrators	4
2	13.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Other.Building.Administrators	5
2	17.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Building.level.Educators	6
2	2.7	Alignment.and.systems.planning	Alignment.and.systems.planning	RPDC.Director	7
2	1.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Area.Supervisor	8
2	3.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Parents	9
2	18.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Collaborative.teams	10
2	22.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Common.formative.assessment	11
2	15.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Data.based.decision.making	12
2	21.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Effective.teaching.learning.practices	13
2	2.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Instructional.Leadership	14
2	15.7	Alignment.and.systems.planning	Alignment.and.systems.planning	School.based.implementation.coaching	15
2	16.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Collective.teacher.efficacy	16
2	6.7	Alignment.and.systems.planning	Alignment.and.systems.planning	MMD.DCI.expectations.logistics.DESE.specifics	17
2	0.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Alignment.and.systems.planning	18
2	24.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Practice.profiles	19
2	7.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Self.assessment.practice.profile..SAPP.	20
2	18.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Learning.module.materials..i.e..power.points..handouts.	21
2	5.7	Alignment.and.systems.planning	Alignment.and.systems.planning	DESE.virtual.learning.platform	22
2	28.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Review.of.CFA.data	23
2	6.7	Alignment.and.systems.planning	Alignment.and.systems.planning	CWIS	24
2	23.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Distance.Learning	25
2	18.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Virtual.Learning.Modules.and.or.PowerPoints	26
2	3.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	27
2	9.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Interaction.Type_Virtual	28
2	19.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Interaction.Type_In-person	29
2	24.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Interaction.Type_In-person and virtual	30
2	18.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Interaction.Type_Phone	31
2	17.7	Alignment.and.systems.planning	Alignment.and.systems.planning	Interaction.Type_Unknown	32
2	29.7	Area.Supervisor	Area.Supervisor	District.Leadership.Team.Members	33
2	23.7	Area.Supervisor	Area.Supervisor	District.Contact.Person	34
2	27.7	Area.Supervisor	Area.Supervisor	Building.Leadership.Team.Members	35
2	22.7	Area.Supervisor	Area.Supervisor	Other.District.Administrators	36
2	6.7	Area.Supervisor	Area.Supervisor	Other.Building.Administrators	37
2	29.7	Area.Supervisor	Area.Supervisor	Building.level.Educators	38
2	8.7	Area.Supervisor	Area.Supervisor	RPDC.Director	39
2	0.7	Area.Supervisor	Area.Supervisor	Area.Supervisor	40
2	27.7	Area.Supervisor	Area.Supervisor	Parents	41
2	28.7	Area.Supervisor	Area.Supervisor	Collaborative.teams	42
2	20.7	Area.Supervisor	Area.Supervisor	Common.formative.assessment	43
2	24.7	Area.Supervisor	Area.Supervisor	Data.based.decision.making	44
2	29.7	Area.Supervisor	Area.Supervisor	Effective.teaching.learning.practices	45
2	16.7	Area.Supervisor	Area.Supervisor	Instructional.Leadership	46
2	21.7	Area.Supervisor	Area.Supervisor	School.based.implementation.coaching	47
2	20.7	Area.Supervisor	Area.Supervisor	Collective.teacher.efficacy	48
2	18.7	Area.Supervisor	Area.Supervisor	MMD.DCI.expectations.logistics.DESE.specifics	49
2	8.7	Area.Supervisor	Area.Supervisor	Alignment.and.systems.planning	50
2	26.7	Area.Supervisor	Area.Supervisor	Practice.profiles	51
2	17.7	Area.Supervisor	Area.Supervisor	Self.assessment.practice.profile..SAPP.	52
2	15.7	Area.Supervisor	Area.Supervisor	Learning.module.materials..i.e..power.points..handouts.	53
2	16.7	Area.Supervisor	Area.Supervisor	DESE.virtual.learning.platform	54
2	25.7	Area.Supervisor	Area.Supervisor	Review.of.CFA.data	55
2	13.7	Area.Supervisor	Area.Supervisor	CWIS	56
2	18.7	Area.Supervisor	Area.Supervisor	Distance.Learning	57
2	11.7	Area.Supervisor	Area.Supervisor	Virtual.Learning.Modules.and.or.PowerPoints	58
2	17.7	Area.Supervisor	Area.Supervisor	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	59
2	27.7	Area.Supervisor	Area.Supervisor	Interaction.Type_Virtual	60
2	26.7	Area.Supervisor	Area.Supervisor	Interaction.Type_In-person	61
2	8.7	Area.Supervisor	Area.Supervisor	Interaction.Type_In-person and virtual	62
2	25.7	Area.Supervisor	Area.Supervisor	Interaction.Type_Phone	63
2	29.7	Area.Supervisor	Area.Supervisor	Interaction.Type_Unknown	64
2	1.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	District.Leadership.Team.Members	65
2	13.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	District.Contact.Person	66
2	0.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Building.Leadership.Team.Members	67
2	8.7	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Other.District.Administrators	68
