fill	x	y	key	tooltip	clickSelects	showSelected1	group	xmin	xmax	ymin	ymax	colour	size
#FFDBCF	1	-9	Alignment.and.systems.planning	0.18657118837847	Alignment.and.systems.planning	District.Leadership.Team.Members	1	0.5	1.5	-9.5	-8.5	#FFDBCF	0
#FFCAB8	1	-6	Alignment.and.systems.planning	0.275996138199605	Alignment.and.systems.planning	District.Contact.Person	2	0.5	1.5	-6.5	-5.5	#FFCAB8	0
#FFEFE9	1	-20	Alignment.and.systems.planning	0.0828105326172396	Alignment.and.systems.planning	Building.Leadership.Team.Members	3	0.5	1.5	-20.5	-19.5	#FFEFE9	0
#FFEBE4	1	-13	Alignment.and.systems.planning	0.104269172534289	Alignment.and.systems.planning	Other.District.Administrators	4	0.5	1.5	-13.5	-12.5	#FFEBE4	0
#EFE4FF	1	-12	Alignment.and.systems.planning	-0.116592150895684	Alignment.and.systems.planning	Other.Building.Administrators	5	0.5	1.5	-12.5	-11.5	#EFE4FF	0
#EFE3FF	1	-17	Alignment.and.systems.planning	-0.117014940518058	Alignment.and.systems.planning	Building.level.Educators	6	0.5	1.5	-17.5	-16.5	#EFE3FF	0
#FFC3AF	1	-4	Alignment.and.systems.planning	0.311393388289565	Alignment.and.systems.planning	RPDC.Director	7	0.5	1.5	-4.5	-3.5	#FFC3AF	0
#FFE5DC	1	-6	Alignment.and.systems.planning	0.134634524920605	Alignment.and.systems.planning	Area.Supervisor	8	0.5	1.5	-6.5	-5.5	#FFE5DC	0
#FFECE5	1	-3	Alignment.and.systems.planning	0.101600456219813	Alignment.and.systems.planning	Parents	9	0.5	1.5	-3.5	-2.5	#FFECE5	0
#FFFBF9	1	-26	Alignment.and.systems.planning	0.0229592736709366	Alignment.and.systems.planning	Collaborative.teams	10	0.5	1.5	-26.5	-25.5	#FFFBF9	0
#FDFCFF	1	-30	Alignment.and.systems.planning	-0.012687030171335	Alignment.and.systems.planning	Common.formative.assessment	11	0.5	1.5	-30.5	-29.5	#FDFCFF	0
#FFEAE2	1	-12	Alignment.and.systems.planning	0.111883170062285	Alignment.and.systems.planning	Data.based.decision.making	12	0.5	1.5	-12.5	-11.5	#FFEAE2	0
#FFFAF9	1	-28	Alignment.and.systems.planning	0.0240214014009402	Alignment.and.systems.planning	Effective.teaching.learning.practices	13	0.5	1.5	-28.5	-27.5	#FFFAF9	0
#FFCAB8	1	-4	Alignment.and.systems.planning	0.277743981244993	Alignment.and.systems.planning	Instructional.Leadership	14	0.5	1.5	-4.5	-3.5	#FFCAB8	0
#FFE2D8	1	-7	Alignment.and.systems.planning	0.15108108558803	Alignment.and.systems.planning	School.based.implementation.coaching	15	0.5	1.5	-7.5	-6.5	#FFE2D8	0
#FDFBFF	1	-26	Alignment.and.systems.planning	-0.0167050215179035	Alignment.and.systems.planning	Collective.teacher.efficacy	16	0.5	1.5	-26.5	-25.5	#FDFBFF	0
#FFB8A1	1	-5	Alignment.and.systems.planning	0.369350968186229	Alignment.and.systems.planning	MMD.DCI.expectations.logistics.DESE.specifics	17	0.5	1.5	-5.5	-4.5	#FFB8A1	0
#FF0000	1	-1	Alignment.and.systems.planning	1	Alignment.and.systems.planning	Alignment.and.systems.planning	18	0.5	1.5	-1.5	-0.5	#FF0000	0
#FEFDFF	1	-30	Alignment.and.systems.planning	-0.0101382643695695	Alignment.and.systems.planning	Practice.profiles	19	0.5	1.5	-30.5	-29.5	#FEFDFF	0
#FFC8B5	1	-8	Alignment.and.systems.planning	0.287002819316137	Alignment.and.systems.planning	Self.assessment.practice.profile..SAPP.	20	0.5	1.5	-8.5	-7.5	#FFC8B5	0
#FFFCFB	1	-30	Alignment.and.systems.planning	0.0146823686837559	Alignment.and.systems.planning	Learning.module.materials..i.e..power.points..handouts.	21	0.5	1.5	-30.5	-29.5	#FFFCFB	0
#FFCCBB	1	-9	Alignment.and.systems.planning	0.26429247067276	Alignment.and.systems.planning	DESE.virtual.learning.platform	22	0.5	1.5	-9.5	-8.5	#FFCCBB	0
#FCF9FF	1	-25	Alignment.and.systems.planning	-0.0251714705495245	Alignment.and.systems.planning	Review.of.CFA.data	23	0.5	1.5	-25.5	-24.5	#FCF9FF	0
#FFC9B6	1	-9	Alignment.and.systems.planning	0.283730047189656	Alignment.and.systems.planning	CWIS	24	0.5	1.5	-9.5	-8.5	#FFC9B6	0
#FFF9F7	1	-25	Alignment.and.systems.planning	0.0313753602979623	Alignment.and.systems.planning	Distance.Learning	25	0.5	1.5	-25.5	-24.5	#FFF9F7	0
#E9D9FF	1	-8	Alignment.and.systems.planning	-0.160996095182475	Alignment.and.systems.planning	Virtual.Learning.Modules.and.or.PowerPoints	26	0.5	1.5	-8.5	-7.5	#E9D9FF	0
#FFF8F5	1	-19	Alignment.and.systems.planning	0.0366521890140255	Alignment.and.systems.planning	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	27	0.5	1.5	-19.5	-18.5	#FFF8F5	0
#F1E7FF	1	-12	Alignment.and.systems.planning	-0.103276035504157	Alignment.and.systems.planning	Interaction.Type_Virtual	28	0.5	1.5	-12.5	-11.5	#F1E7FF	0
#EDE0FF	1	-15	Alignment.and.systems.planning	-0.131905551646386	Alignment.and.systems.planning	Interaction.Type_In-person	29	0.5	1.5	-15.5	-14.5	#EDE0FF	0
#F7F0FF	1	-16	Alignment.and.systems.planning	-0.0620356790485777	Alignment.and.systems.planning	Interaction.Type_In-person and virtual	30	0.5	1.5	-16.5	-15.5	#F7F0FF	0
#F5EDFF	1	-13	Alignment.and.systems.planning	-0.0752679214633997	Alignment.and.systems.planning	Interaction.Type_Phone	31	0.5	1.5	-13.5	-12.5	#F5EDFF	0
#FFFEFE	1	-29	Alignment.and.systems.planning	0.00379970792496289	Alignment.and.systems.planning	Interaction.Type_Unknown	32	0.5	1.5	-29.5	-28.5	#FFFEFE	0
#FFFEFD	1	-31	Alignment.and.systems.planning	0.00698234160620149	Alignment.and.systems.planning	ETLP_avg	33	0.5	1.5	-31.5	-30.5	#FFFEFD	0
#FFEAE3	1	-19	Area.Supervisor	0.108536975505766	Area.Supervisor	District.Leadership.Team.Members	34	0.5	1.5	-19.5	-18.5	#FFEAE3	0
#FFF1EC	1	-20	Area.Supervisor	0.071306000336593	Area.Supervisor	District.Contact.Person	35	0.5	1.5	-20.5	-19.5	#FFF1EC	0
#FFF9F7	1	-27	Area.Supervisor	0.0295261225333496	Area.Supervisor	Building.Leadership.Team.Members	36	0.5	1.5	-27.5	-26.5	#FFF9F7	0
#FFEDE7	1	-14	Area.Supervisor	0.0930680838986455	Area.Supervisor	Other.District.Administrators	37	0.5	1.5	-14.5	-13.5	#FFEDE7	0
#FFDFD4	1	-8	Area.Supervisor	0.165409881222657	Area.Supervisor	Other.Building.Administrators	38	0.5	1.5	-8.5	-7.5	#FFDFD4	0
#FFFEFD	1	-30	Area.Supervisor	0.00646741126827924	Area.Supervisor	Building.level.Educators	39	0.5	1.5	-30.5	-29.5	#FFFEFD	0
#FFD2C2	1	-6	Area.Supervisor	0.234987731617051	Area.Supervisor	RPDC.Director	40	0.5	1.5	-6.5	-5.5	#FFD2C2	0
#FF0000	1	-1	Area.Supervisor	1	Area.Supervisor	Area.Supervisor	41	0.5	1.5	-1.5	-0.5	#FF0000	0
#FFFBF9	1	-18	Area.Supervisor	0.0236326444228562	Area.Supervisor	Parents	42	0.5	1.5	-18.5	-17.5	#FFFBF9	0
#FDFBFF	1	-27	Area.Supervisor	-0.0185291646743784	Area.Supervisor	Collaborative.teams	43	0.5	1.5	-27.5	-26.5	#FDFBFF	0
#FCF9FF	1	-27	Area.Supervisor	-0.0248159691631905	Area.Supervisor	Common.formative.assessment	44	0.5	1.5	-27.5	-26.5	#FCF9FF	0
#FFF9F7	1	-25	Area.Supervisor	0.0293282255189267	Area.Supervisor	Data.based.decision.making	45	0.5	1.5	-25.5	-24.5	#FFF9F7	0
#FFF9F6	1	-25	Area.Supervisor	0.0330250304049945	Area.Supervisor	Effective.teaching.learning.practices	46	0.5	1.5	-25.5	-24.5	#FFF9F6	0
#FFEAE3	1	-14	Area.Supervisor	0.108091324146885	Area.Supervisor	Instructional.Leadership	47	0.5	1.5	-14.5	-13.5	#FFEAE3	0
#FFF0EB	1	-16	Area.Supervisor	0.0766810408683698	Area.Supervisor	School.based.implementation.coaching	48	0.5	1.5	-16.5	-15.5	#FFF0EB	0
#FFE8E0	1	-6	Area.Supervisor	0.119210988181553	Area.Supervisor	Collective.teacher.efficacy	49	0.5	1.5	-6.5	-5.5	#FFE8E0	0
#FFE2D7	1	-13	Area.Supervisor	0.154388394804988	Area.Supervisor	MMD.DCI.expectations.logistics.DESE.specifics	50	0.5	1.5	-13.5	-12.5	#FFE2D7	0
#FFE5DC	1	-12	Area.Supervisor	0.134634524920605	Area.Supervisor	Alignment.and.systems.planning	51	0.5	1.5	-12.5	-11.5	#FFE5DC	0
#FDFBFF	1	-29	Area.Supervisor	-0.0187822520300503	Area.Supervisor	Practice.profiles	52	0.5	1.5	-29.5	-28.5	#FDFBFF	0
#FFE8E0	1	-16	Area.Supervisor	0.119696470584169	Area.Supervisor	Self.assessment.practice.profile..SAPP.	53	0.5	1.5	-16.5	-15.5	#FFE8E0	0
#FFF6F3	1	-25	Area.Supervisor	0.0453024074150649	Area.Supervisor	Learning.module.materials..i.e..power.points..handouts.	54	0.5	1.5	-25.5	-24.5	#FFF6F3	0
#FFE7DE	1	-17	Area.Supervisor	0.126417796876027	Area.Supervisor	DESE.virtual.learning.platform	55	0.5	1.5	-17.5	-16.5	#FFE7DE	0
#FFF4F0	1	-15	Area.Supervisor	0.0580331032628673	Area.Supervisor	Review.of.CFA.data	56	0.5	1.5	-15.5	-14.5	#FFF4F0	0
#FFE1D6	1	-16	Area.Supervisor	0.157457752756488	Area.Supervisor	CWIS	57	0.5	1.5	-16.5	-15.5	#FFE1D6	0
#F7F1FF	1	-18	Area.Supervisor	-0.0606375964678975	Area.Supervisor	Distance.Learning	58	0.5	1.5	-18.5	-17.5	#F7F1FF	0
#F0E5FF	1	-20	Area.Supervisor	-0.108413250126678	Area.Supervisor	Virtual.Learning.Modules.and.or.PowerPoints	59	0.5	1.5	-20.5	-19.5	#F0E5FF	0
#FAF6FF	1	-18	Area.Supervisor	-0.0375634434092065	Area.Supervisor	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	60	0.5	1.5	-18.5	-17.5	#FAF6FF	0
#FAF6FF	1	-24	Area.Supervisor	-0.0365452998232434	Area.Supervisor	Interaction.Type_Virtual	61	0.5	1.5	-24.5	-23.5	#FAF6FF	0
#F8F3FF	1	-28	Area.Supervisor	-0.0505303562484338	Area.Supervisor	Interaction.Type_In-person	62	0.5	1.5	-28.5	-27.5	#F8F3FF	0
#FFF3EF	1	-14	Area.Supervisor	0.062123925147121	Area.Supervisor	Interaction.Type_In-person and virtual	63	0.5	1.5	-14.5	-13.5	#FFF3EF	0
#F8F2FF	1	-17	Area.Supervisor	-0.0533736081495887	Area.Supervisor	Interaction.Type_Phone	64	0.5	1.5	-17.5	-16.5	#F8F2FF	0
#FFFAF7	1	-13	Area.Supervisor	0.0287608784909408	Area.Supervisor	Interaction.Type_Unknown	65	0.5	1.5	-13.5	-12.5	#FFFAF7	0
#F8F3FF	1	-21	Area.Supervisor	-0.050213784081659	Area.Supervisor	ETLP_avg	66	0.5	1.5	-21.5	-20.5	#F8F3FF	0
#FFCEBD	1	-6	Building.Leadership.Team.Members	0.256846019829913	Building.Leadership.Team.Members	District.Leadership.Team.Members	67	0.5	1.5	-6.5	-5.5	#FFCEBD	0
#F4EBFF	1	-19	Building.Leadership.Team.Members	-0.0858759930253551	Building.Leadership.Team.Members	District.Contact.Person	68	0.5	1.5	-19.5	-18.5	#F4EBFF	0
#FF0000	1	-1	Building.Leadership.Team.Members	1	Building.Leadership.Team.Members	Building.Leadership.Team.Members	69	0.5	1.5	-1.5	-0.5	#FF0000	0
#FFE4DA	1	-8	Building.Leadership.Team.Members	0.140735488295143	Building.Leadership.Team.Members	Other.District.Administrators	70	0.5	1.5	-8.5	-7.5	#FFE4DA	0
#FFC8B5	1	-3	Building.Leadership.Team.Members	0.288863511687951	Building.Leadership.Team.Members	Other.Building.Administrators	71	0.5	1.5	-3.5	-2.5	#FFC8B5	0
#FF987A	1	-2	Building.Leadership.Team.Members	0.528898594130367	Building.Leadership.Team.Members	Building.level.Educators	72	0.5	1.5	-2.5	-1.5	#FF987A	0
#FAF6FF	1	-19	Building.Leadership.Team.Members	-0.0381612645387871	Building.Leadership.Team.Members	RPDC.Director	73	0.5	1.5	-19.5	-18.5	#FAF6FF	0
#FFF9F7	1	-24	Building.Leadership.Team.Members	0.0295261225333496	Building.Leadership.Team.Members	Area.Supervisor	74	0.5	1.5	-24.5	-23.5	#FFF9F7	0
#FFF9F6	1	-14	Building.Leadership.Team.Members	0.0330442397354882	Building.Leadership.Team.Members	Parents	75	0.5	1.5	-14.5	-13.5	#FFF9F6	0
#FFD5C6	1	-4	Building.Leadership.Team.Members	0.221553163493858	Building.Leadership.Team.Members	Collaborative.teams	76	0.5	1.5	-4.5	-3.5	#FFD5C6	0
#FFEDE6	1	-13	Building.Leadership.Team.Members	0.0966121872739464	Building.Leadership.Team.Members	Common.formative.assessment	77	0.5	1.5	-13.5	-12.5	#FFEDE6	0
#FFE0D4	1	-7	Building.Leadership.Team.Members	0.164367830673061	Building.Leadership.Team.Members	Data.based.decision.making	78	0.5	1.5	-7.5	-6.5	#FFE0D4	0
