x	key	clickSelects	xmin	xmax	size	group
1	Coaching_Alignment.and.systems.planning	Coaching_Alignment.and.systems.planning	0.5	1.5	0	1
1	Coaching_Area.Supervisor	Coaching_Area.Supervisor	0.5	1.5	0	2
1	Coaching_Building.Leadership.Team.Members	Coaching_Building.Leadership.Team.Members	0.5	1.5	0	3
1	Coaching_Building.level.Educators	Coaching_Building.level.Educators	0.5	1.5	0	4
1	Coaching_CWIS	Coaching_CWIS	0.5	1.5	0	5
1	Coaching_Collaborative.teams	Coaching_Collaborative.teams	0.5	1.5	0	6
1	Coaching_Collective.teacher.efficacy	Coaching_Collective.teacher.efficacy	0.5	1.5	0	7
1	Coaching_Common.formative.assessment	Coaching_Common.formative.assessment	0.5	1.5	0	8
1	Coaching_DESE.virtual.learning.platform	Coaching_DESE.virtual.learning.platform	0.5	1.5	0	9
1	Coaching_Data.based.decision.making	Coaching_Data.based.decision.making	0.5	1.5	0	10
1	Coaching_Distance.Learning	Coaching_Distance.Learning	0.5	1.5	0	11
1	Coaching_District.Contact.Person	Coaching_District.Contact.Person	0.5	1.5	0	12
1	Coaching_District.Leadership.Team.Members	Coaching_District.Leadership.Team.Members	0.5	1.5	0	13
1	Coaching_Effective.teaching.learning.practices	Coaching_Effective.teaching.learning.practices	0.5	1.5	0	14
1	Coaching_Instructional.Leadership	Coaching_Instructional.Leadership	0.5	1.5	0	15
1	Coaching_Interaction.Type_Phone	Coaching_Interaction.Type_Phone	0.5	1.5	0	16
1	Coaching_Interaction.Type_Unknown	Coaching_Interaction.Type_Unknown	0.5	1.5	0	17
1	Coaching_Interaction.Type_Virtual	Coaching_Interaction.Type_Virtual	0.5	1.5	0	18
1	Coaching_Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Coaching_Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	0.5	1.5	0	19
1	Coaching_Learning.module.materials..i.e..power.points..handouts.	Coaching_Learning.module.materials..i.e..power.points..handouts.	0.5	1.5	0	20
1	Coaching_MMD.DCI.expectations.logistics.DESE.specifics	Coaching_MMD.DCI.expectations.logistics.DESE.specifics	0.5	1.5	0	21
1	Coaching_Other.Building.Administrators	Coaching_Other.Building.Administrators	0.5	1.5	0	22
1	Coaching_Other.District.Administrators	Coaching_Other.District.Administrators	0.5	1.5	0	23
1	Coaching_Parents	Coaching_Parents	0.5	1.5	0	24
1	Coaching_Practice.profiles	Coaching_Practice.profiles	0.5	1.5	0	25
1	Coaching_RPDC.Director	Coaching_RPDC.Director	0.5	1.5	0	26
1	Coaching_Review.of.CFA.data	Coaching_Review.of.CFA.data	0.5	1.5	0	27
1	Coaching_School.based.implementation.coaching	Coaching_School.based.implementation.coaching	0.5	1.5	0	28
1	Coaching_Self.assessment.practice.profile..SAPP.	Coaching_Self.assessment.practice.profile..SAPP.	0.5	1.5	0	29
1	Coaching_Virtual.Learning.Modules.and.or.PowerPoints	Coaching_Virtual.Learning.Modules.and.or.PowerPoints	0.5	1.5	0	30
