group	x
1	1
2	2
3	3
4	2
5	0
6	4
7	1
8	21
9	50
10	0
11	0
12	0
13	3
14	7
15	1
16	0
17	3
18	8
19	4
20	3
21	4
22	0
23	1
24	11
25	1
26	23
27	0
28	4
29	7
30	6
31	4
32	2
33	7
34	5
35	1
36	7
37	8
38	2
39	2
40	2
41	1
42	4
43	3
44	2
45	4
46	4
47	4
48	0
49	7
50	3
51	3
52	3
53	16
54	11
55	55
56	19
57	5
58	1
59	3
60	10
61	7
62	27
63	1
64	2
65	6
66	2
67	14
68	4
69	3
70	4
71	4
72	2
73	1
74	1
75	6
76	1
77	18
78	0
79	25
80	8
81	3
82	2
83	9
84	10
85	11
86	2
87	0
88	0
89	13
90	2
91	16
92	2
93	1
94	11
95	4
96	5
97	0
98	8
99	19
100	15
101	9
102	1
103	1
104	6
105	2
106	9
107	19
108	3
109	7
110	13
111	5
112	2
113	2
114	3
115	2
116	0
117	43
118	12
119	3
120	63
121	9
122	47
123	0
124	8
125	6
126	3
127	8
128	4
129	2
130	6
131	5
132	13
133	17
134	4
135	5
136	0
137	6
138	6
139	2
140	5
141	5
142	2
143	3
144	7
145	4
146	0
147	2
148	1
149	1
150	69
151	19
152	43
153	1
154	0
155	10
156	18
157	20
158	8
159	60
160	1
161	79
162	39
163	24
164	0
165	0
166	33
167	0
168	3
169	3
170	13
171	4
172	15
173	8
174	3
175	8
176	5
177	2
178	3
179	7
180	9
181	0
182	0
183	13
184	4
185	1
186	0
187	9
188	0
189	18
190	4
191	4
192	2
193	3
194	1
195	5
196	0
197	12
198	2
199	2
200	9
201	7
202	0
203	1
204	0
205	1
206	0
207	4
208	2
209	4
210	23
211	8
212	2
213	3
214	6
215	4
216	7
217	3
218	3
219	0
220	5
221	3
222	1
223	1
224	7
225	4
226	1
227	3
228	0
229	10
230	1
231	6
232	7
233	12
234	5
235	7
236	2
237	11
238	2
239	10
240	4
241	4
242	14
243	10
244	27
245	0
246	4
247	1
248	1
249	1
250	5
251	4
252	2
253	0
254	2
255	1
256	10
257	3
258	2
259	21
260	4
261	6
262	4
263	0
264	9
265	1
266	12
267	25
268	0
269	0
270	1
271	12
272	1
273	2
274	1
275	9
276	2
277	5
278	3
279	4
280	3
281	1
282	4
283	12
284	1
285	32
286	22
287	15
288	7
289	6
290	4
291	1
292	6
293	1
294	0
295	7
296	3
297	0
298	4
299	12
300	4
301	6
302	26
303	33
304	3
305	1
306	1
307	1
308	11
309	4
310	4
311	10
312	1
313	0
314	6
315	7
316	1
317	0
318	1
319	6
320	4
321	22
322	4
323	0
324	27
325	4
326	0
327	13
328	0
329	25
330	1
331	3
332	4
333	0
334	6
335	3
336	2
337	4
338	3
339	5
340	5
341	9
342	6
343	3
344	2
345	3
346	12
347	3
348	1
349	3
350	0
351	5
352	2
353	2
354	1
355	4
356	4
357	3
358	1
359	7
360	2
361	17
362	6
363	3
364	1
365	15
366	32
367	2
368	2
369	16
370	13
371	5
372	1
373	7
374	5
375	6
376	13
377	5
378	9
379	3
380	3
381	2
382	0
383	0
384	2
385	2
386	10
387	6
388	18
389	7
390	2
391	1
392	8
393	6
394	15
395	4
396	5
397	3
398	3
399	4
400	0
401	7
402	15
403	3
404	18
405	18
406	6
407	8
408	6
409	0
410	8
411	3
412	5
413	1
414	10
415	2
416	11
417	4
418	2
419	33
420	20
421	1
422	1
423	1
424	9
425	4
426	12
427	9
428	18
429	2
430	11
431	23
432	14
433	7
434	5
435	5
436	1
437	12
438	12
439	7
440	3
441	18
442	7
443	22
444	5
445	3
446	5
447	7
448	4
449	11
450	1
451	6
452	2
453	3
454	1
455	4
456	5
457	7
458	2
459	17
460	1
461	79
462	57
463	5
464	13
465	1
466	1
467	6
468	2
469	5
470	1
471	16
472	1
473	6
474	2
475	9
476	5
477	7
478	8
479	4
480	4
481	12
482	5
483	2
484	3
485	8
486	4
487	6
488	1
489	4
490	1
491	0
492	2
493	3
494	5
495	12
496	5
497	2
498	0
499	28
500	19
501	13
502	4
503	28
504	4
505	4
506	0
507	21
508	3
509	117
510	59
511	5
512	3
513	3
514	15
515	2
516	0
517	5
518	2
519	10
520	19
521	12
522	40
523	11
524	5
525	4
526	12
527	3
528	20
529	4
530	1
531	11
532	7
533	1
534	50
535	7
536	15
537	6
538	9
539	12
540	14
541	7
542	5
543	3
544	5
545	1
546	2
547	3
548	2
549	0
550	4
551	1
552	21
553	50
554	0
555	0
556	0
557	3
558	7
559	1
560	0
561	3
562	8
563	4
564	3
565	4
