x	y	label	tooltip	clickSelects	showSelected1	group
2	-9.3	Alignment.and.systems.planning	0.21501111089328	Alignment.and.systems.planning	District.Leadership.Team.Members	1
2	-6.3	Alignment.and.systems.planning	0.250329928703634	Alignment.and.systems.planning	District.Contact.Person	2
2	-14.3	Alignment.and.systems.planning	0.0985848004300407	Alignment.and.systems.planning	Building.Leadership.Team.Members	3
2	-13.3	Alignment.and.systems.planning	0.0902095899698445	Alignment.and.systems.planning	Other.District.Administrators	4
2	-12.3	Alignment.and.systems.planning	-0.111231214727673	Alignment.and.systems.planning	Other.Building.Administrators	5
2	-16.3	Alignment.and.systems.planning	-0.113362880788382	Alignment.and.systems.planning	Building.level.Educators	6
2	-2.3	Alignment.and.systems.planning	0.364765859061874	Alignment.and.systems.planning	RPDC.Director	7
2	-6.3	Alignment.and.systems.planning	0.141731175156445	Alignment.and.systems.planning	Area.Supervisor	8
2	-3.3	Alignment.and.systems.planning	0.111015256636582	Alignment.and.systems.planning	Parents	9
2	-30.3	Alignment.and.systems.planning	0.00748328229693161	Alignment.and.systems.planning	Collaborative.teams	10
2	-24.3	Alignment.and.systems.planning	-0.0515599772788794	Alignment.and.systems.planning	Common.formative.assessment	11
2	-14.3	Alignment.and.systems.planning	0.0780939677565345	Alignment.and.systems.planning	Data.based.decision.making	12
2	-25.3	Alignment.and.systems.planning	0.0312474226926535	Alignment.and.systems.planning	Effective.teaching.learning.practices	13
2	-5.3	Alignment.and.systems.planning	0.212830096230327	Alignment.and.systems.planning	Instructional.Leadership	14
2	-9.3	Alignment.and.systems.planning	0.121486823046321	Alignment.and.systems.planning	School.based.implementation.coaching	15
2	-19.3	Alignment.and.systems.planning	-0.0513312190157813	Alignment.and.systems.planning	Collective.teacher.efficacy	16
2	-5.3	Alignment.and.systems.planning	0.373415894661289	Alignment.and.systems.planning	MMD.DCI.expectations.logistics.DESE.specifics	17
2	-1.3	Alignment.and.systems.planning	1	Alignment.and.systems.planning	Alignment.and.systems.planning	18
2	-23.3	Alignment.and.systems.planning	-0.0558466057357408	Alignment.and.systems.planning	Practice.profiles	19
2	-8.3	Alignment.and.systems.planning	0.305657289177249	Alignment.and.systems.planning	Self.assessment.practice.profile..SAPP.	20
2	-30.3	Alignment.and.systems.planning	0.00357483409096005	Alignment.and.systems.planning	Learning.module.materials..i.e..power.points..handouts.	21
2	-8.3	Alignment.and.systems.planning	0.275017348675923	Alignment.and.systems.planning	DESE.virtual.learning.platform	22
2	-22.3	Alignment.and.systems.planning	-0.0443887514199969	Alignment.and.systems.planning	Review.of.CFA.data	23
2	-9.3	Alignment.and.systems.planning	0.27406830909614	Alignment.and.systems.planning	CWIS	24
2	-31.3	Alignment.and.systems.planning	0.0132648545395541	Alignment.and.systems.planning	Distance.Learning	25
2	-8.3	Alignment.and.systems.planning	-0.176105565607474	Alignment.and.systems.planning	Virtual.Learning.Modules.and.or.PowerPoints	26
2	-13.3	Alignment.and.systems.planning	0.0450032084580452	Alignment.and.systems.planning	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	27
2	-11.3	Alignment.and.systems.planning	-0.0974615803927396	Alignment.and.systems.planning	Interaction.Type_Virtual	28
2	-15.3	Alignment.and.systems.planning	-0.144771195663218	Alignment.and.systems.planning	Interaction.Type_In-person	29
2	-17.3	Alignment.and.systems.planning	-0.0538907573801622	Alignment.and.systems.planning	Interaction.Type_In-person and virtual	30
2	-16.3	Alignment.and.systems.planning	-0.0654556213244342	Alignment.and.systems.planning	Interaction.Type_Phone	31
2	-31.3	Alignment.and.systems.planning	0.000245155855737595	Alignment.and.systems.planning	Interaction.Type_Unknown	32
2	-28.3	Alignment.and.systems.planning	-0.0334211554857197	Alignment.and.systems.planning	ETLP_avg	33
2	-19.3	Area.Supervisor	0.126077581774061	Area.Supervisor	District.Leadership.Team.Members	34
2	-23.3	Area.Supervisor	0.0493802391991905	Area.Supervisor	District.Contact.Person	35
2	-28.3	Area.Supervisor	0.0274107817619568	Area.Supervisor	Building.Leadership.Team.Members	36
2	-15.3	Area.Supervisor	0.0750109679708419	Area.Supervisor	Other.District.Administrators	37
2	-5.3	Area.Supervisor	0.199036891746958	Area.Supervisor	Other.Building.Administrators	38
2	-31.3	Area.Supervisor	0.00408336322976758	Area.Supervisor	Building.level.Educators	39
2	-6.3	Area.Supervisor	0.226662335050217	Area.Supervisor	RPDC.Director	40
2	-1.3	Area.Supervisor	1	Area.Supervisor	Area.Supervisor	41
2	-20.3	Area.Supervisor	0.0216840576398464	Area.Supervisor	Parents	42
2	-26.3	Area.Supervisor	-0.0243609353862804	Area.Supervisor	Collaborative.teams	43
2	-25.3	Area.Supervisor	-0.0377063428758349	Area.Supervisor	Common.formative.assessment	44
2	-25.3	Area.Supervisor	0.032543424950641	Area.Supervisor	Data.based.decision.making	45
2	-27.3	Area.Supervisor	0.02790713768324	Area.Supervisor	Effective.teaching.learning.practices	46
2	-15.3	Area.Supervisor	0.103764601321874	Area.Supervisor	Instructional.Leadership	47
2	-17.3	Area.Supervisor	0.0670679074690205	Area.Supervisor	School.based.implementation.coaching	48
2	-10.3	Area.Supervisor	0.100648932890237	Area.Supervisor	Collective.teacher.efficacy	49
2	-10.3	Area.Supervisor	0.175114873028307	Area.Supervisor	MMD.DCI.expectations.logistics.DESE.specifics	50
2	-11.3	Area.Supervisor	0.141731175156445	Area.Supervisor	Alignment.and.systems.planning	51
2	-30.3	Area.Supervisor	-0.0135674867947091	Area.Supervisor	Practice.profiles	52
2	-15.3	Area.Supervisor	0.124692034913475	Area.Supervisor	Self.assessment.practice.profile..SAPP.	53
2	-26.3	Area.Supervisor	0.0313271020975897	Area.Supervisor	Learning.module.materials..i.e..power.points..handouts.	54
2	-16.3	Area.Supervisor	0.13926743579448	Area.Supervisor	DESE.virtual.learning.platform	55
2	-16.3	Area.Supervisor	0.054297055222723	Area.Supervisor	Review.of.CFA.data	56
2	-13.3	Area.Supervisor	0.151378895288551	Area.Supervisor	CWIS	57
2	-16.3	Area.Supervisor	-0.0522757087111804	Area.Supervisor	Distance.Learning	58
2	-23.3	Area.Supervisor	-0.102960497822963	Area.Supervisor	Virtual.Learning.Modules.and.or.PowerPoints	59
2	-15.3	Area.Supervisor	-0.0379133944627952	Area.Supervisor	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	60
2	-28.3	Area.Supervisor	-0.0229115406732431	Area.Supervisor	Interaction.Type_Virtual	61
2	-27.3	Area.Supervisor	-0.056538139116322	Area.Supervisor	Interaction.Type_In-person	62
2	-8.3	Area.Supervisor	0.0934700309727916	Area.Supervisor	Interaction.Type_In-person and virtual	63
2	-20.3	Area.Supervisor	-0.0437937876087115	Area.Supervisor	Interaction.Type_Phone	64
2	-18.3	Area.Supervisor	0.0321973211159849	Area.Supervisor	Interaction.Type_Unknown	65
2	-22.3	Area.Supervisor	-0.0455689813332752	Area.Supervisor	ETLP_avg	66
2	-5.3	Building.Leadership.Team.Members	0.310027954686602	Building.Leadership.Team.Members	District.Leadership.Team.Members	67
2	-24.3	Building.Leadership.Team.Members	-0.0402347120935175	Building.Leadership.Team.Members	District.Contact.Person	68
2	-1.3	Building.Leadership.Team.Members	1	Building.Leadership.Team.Members	Building.Leadership.Team.Members	69
2	-7.3	Building.Leadership.Team.Members	0.163378562011628	Building.Leadership.Team.Members	Other.District.Administrators	70
2	-2.3	Building.Leadership.Team.Members	0.286742438641893	Building.Leadership.Team.Members	Other.Building.Administrators	71
2	-2.3	Building.Leadership.Team.Members	0.508382449405889	Building.Leadership.Team.Members	Building.level.Educators	72
2	-29.3	Building.Leadership.Team.Members	-0.00459506865672262	Building.Leadership.Team.Members	RPDC.Director	73
2	-26.3	Building.Leadership.Team.Members	0.0274107817619568	Building.Leadership.Team.Members	Area.Supervisor	74
2	-11.3	Building.Leadership.Team.Members	0.0408516670777968	Building.Leadership.Team.Members	Parents	75
2	-5.3	Building.Leadership.Team.Members	0.214702233314155	Building.Leadership.Team.Members	Collaborative.teams	76
2	-14.3	Building.Leadership.Team.Members	0.0843454631840821	Building.Leadership.Team.Members	Common.formative.assessment	77
2	-7.3	Building.Leadership.Team.Members	0.174942690540133	Building.Leadership.Team.Members	Data.based.decision.making	78
2	-3.3	Building.Leadership.Team.Members	0.365258971252958	Building.Leadership.Team.Members	Effective.teaching.learning.practices	79
2	-31.3	Building.Leadership.Team.Members	0.000825448648743978	Building.Leadership.Team.Members	Instructional.Leadership	80
2	-5.3	Building.Leadership.Team.Members	0.209286924659905	Building.Leadership.Team.Members	School.based.implementation.coaching	81
2	-17.3	Building.Leadership.Team.Members	0.0572764274822339	Building.Leadership.Team.Members	Collective.teacher.efficacy	82
2	-22.3	Building.Leadership.Team.Members	-0.0721885900381731	Building.Leadership.Team.Members	MMD.DCI.expectations.logistics.DESE.specifics	83
2	-16.3	Building.Leadership.Team.Members	0.0985848004300407	Building.Leadership.Team.Members	Alignment.and.systems.planning	84
