x	y	label	showSelected1	showSelected2	group
0.5	0	District.Leadership.Team.Members	District.Leadership.Team.Members	District.Leadership.Team.Members	13
0.5	0	District.Contact.Person	District.Contact.Person	District.Leadership.Team.Members	46
0.5	0	Building.Leadership.Team.Members	Building.Leadership.Team.Members	District.Leadership.Team.Members	79
0.5	0	Other.District.Administrators	Other.District.Administrators	District.Leadership.Team.Members	112
0.5	0	Other.Building.Administrators	Other.Building.Administrators	District.Leadership.Team.Members	145
0.5	0	Building.level.Educators	Building.level.Educators	District.Leadership.Team.Members	178
0.5	0	RPDC.Director	RPDC.Director	District.Leadership.Team.Members	211
0.25	0	Area.Supervisor	Area.Supervisor	District.Leadership.Team.Members	244
0.0833333333333335	0	Parents	Parents	District.Leadership.Team.Members	277
0.5	0	Collaborative.teams	Collaborative.teams	District.Leadership.Team.Members	310
0.5	0	Common.formative.assessment	Common.formative.assessment	District.Leadership.Team.Members	343
0.5	0	Data.based.decision.making	Data.based.decision.making	District.Leadership.Team.Members	376
0.5	0	Effective.teaching.learning.practices	Effective.teaching.learning.practices	District.Leadership.Team.Members	409
0.5	0	Instructional.Leadership	Instructional.Leadership	District.Leadership.Team.Members	442
0.5	0	School.based.implementation.coaching	School.based.implementation.coaching	District.Leadership.Team.Members	475
0.25	0	Collective.teacher.efficacy	Collective.teacher.efficacy	District.Leadership.Team.Members	508
0.5	0	MMD.DCI.expectations.logistics.DESE.specifics	MMD.DCI.expectations.logistics.DESE.specifics	District.Leadership.Team.Members	541
0.5	0	Alignment.and.systems.planning	Alignment.and.systems.planning	District.Leadership.Team.Members	574
0.5	0	Practice.profiles	Practice.profiles	District.Leadership.Team.Members	607
0.5	0	Self.assessment.practice.profile..SAPP.	Self.assessment.practice.profile..SAPP.	District.Leadership.Team.Members	640
0.5	0	Learning.module.materials..i.e..power.points..handouts.	Learning.module.materials..i.e..power.points..handouts.	District.Leadership.Team.Members	673
0.5	0	DESE.virtual.learning.platform	DESE.virtual.learning.platform	District.Leadership.Team.Members	706
0.5	0	Review.of.CFA.data	Review.of.CFA.data	District.Leadership.Team.Members	739
0.5	0	CWIS	CWIS	District.Leadership.Team.Members	772
0.375	0	Distance.Learning	Distance.Learning	District.Leadership.Team.Members	805
0.5	0	Virtual.Learning.Modules.and.or.PowerPoints	Virtual.Learning.Modules.and.or.PowerPoints	District.Leadership.Team.Members	838
0.25	0	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	District.Leadership.Team.Members	871
31	0	Interaction.Type_Virtual	Interaction.Type_Virtual	District.Leadership.Team.Members	904
58.5	0	Interaction.Type_In-person	Interaction.Type_In-person	District.Leadership.Team.Members	937
3	0	Interaction.Type_In-person and virtual	Interaction.Type_In-person and virtual	District.Leadership.Team.Members	970
3.5	0	Interaction.Type_Phone	Interaction.Type_Phone	District.Leadership.Team.Members	1003
1	0	Interaction.Type_Unknown	Interaction.Type_Unknown	District.Leadership.Team.Members	1036
3.71428571428572	0	ETLP_avg	ETLP_avg	District.Leadership.Team.Members	1069
0.5	0	District.Leadership.Team.Members	District.Leadership.Team.Members	District.Contact.Person	12
0.5	0	District.Contact.Person	District.Contact.Person	District.Contact.Person	45
0.5	0	Building.Leadership.Team.Members	Building.Leadership.Team.Members	District.Contact.Person	78
0.5	0	Other.District.Administrators	Other.District.Administrators	District.Contact.Person	111
0.5	0	Other.Building.Administrators	Other.Building.Administrators	District.Contact.Person	144
0.5	0	Building.level.Educators	Building.level.Educators	District.Contact.Person	177
0.5	0	RPDC.Director	RPDC.Director	District.Contact.Person	210
0.25	0	Area.Supervisor	Area.Supervisor	District.Contact.Person	243
0.0833333333333335	0	Parents	Parents	District.Contact.Person	276
0.5	0	Collaborative.teams	Collaborative.teams	District.Contact.Person	309
0.5	0	Common.formative.assessment	Common.formative.assessment	District.Contact.Person	342
0.5	0	Data.based.decision.making	Data.based.decision.making	District.Contact.Person	375
0.5	0	Effective.teaching.learning.practices	Effective.teaching.learning.practices	District.Contact.Person	408
0.5	0	Instructional.Leadership	Instructional.Leadership	District.Contact.Person	441
0.5	0	School.based.implementation.coaching	School.based.implementation.coaching	District.Contact.Person	474
0.25	0	Collective.teacher.efficacy	Collective.teacher.efficacy	District.Contact.Person	507
0.5	0	MMD.DCI.expectations.logistics.DESE.specifics	MMD.DCI.expectations.logistics.DESE.specifics	District.Contact.Person	540
0.5	0	Alignment.and.systems.planning	Alignment.and.systems.planning	District.Contact.Person	573
0.5	0	Practice.profiles	Practice.profiles	District.Contact.Person	606
0.5	0	Self.assessment.practice.profile..SAPP.	Self.assessment.practice.profile..SAPP.	District.Contact.Person	639
0.5	0	Learning.module.materials..i.e..power.points..handouts.	Learning.module.materials..i.e..power.points..handouts.	District.Contact.Person	672
0.5	0	DESE.virtual.learning.platform	DESE.virtual.learning.platform	District.Contact.Person	705
0.5	0	Review.of.CFA.data	Review.of.CFA.data	District.Contact.Person	738
0.5	0	CWIS	CWIS	District.Contact.Person	771
0.375	0	Distance.Learning	Distance.Learning	District.Contact.Person	804
0.5	0	Virtual.Learning.Modules.and.or.PowerPoints	Virtual.Learning.Modules.and.or.PowerPoints	District.Contact.Person	837
0.25	0	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	District.Contact.Person	870
31	0	Interaction.Type_Virtual	Interaction.Type_Virtual	District.Contact.Person	903
58.5	0	Interaction.Type_In-person	Interaction.Type_In-person	District.Contact.Person	936
3	0	Interaction.Type_In-person and virtual	Interaction.Type_In-person and virtual	District.Contact.Person	969
3.5	0	Interaction.Type_Phone	Interaction.Type_Phone	District.Contact.Person	1002
1	0	Interaction.Type_Unknown	Interaction.Type_Unknown	District.Contact.Person	1035
3.71428571428572	0	ETLP_avg	ETLP_avg	District.Contact.Person	1068
0.5	0	District.Leadership.Team.Members	District.Leadership.Team.Members	Building.Leadership.Team.Members	3
0.5	0	District.Contact.Person	District.Contact.Person	Building.Leadership.Team.Members	36
