x	y	PANEL
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
0	10	1
0	11	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
0	10	1
0	11	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
0	10	1
0	11	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
0	10	1
0	11	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
0	10	1
0	11	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
0	10	1
0	11	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
0	10	1
0	11	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
0	10	1
0	11	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
0	10	1
0	11	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
0	10	1
0	11	1
-0.00212226444225931	1	2
0.00205045058342009	2	2
0	1	2
0	2	2
0	1	2
0	2	2
0	1	2
0	2	2
0	1	2
0	2	2
0	1	2
0	2	2
0	1	2
0	2	2
0	1	2
0	2	2
0	1	2
0	2	2
0	1	2
0	2	2
0.0113615936212656	1	3
0.0139797555626796	1	3
0.0146535752206302	1	3
0.00740073023532157	1	3
0.0105709742217557	1	3
0.009832118894566	1	3
0.0187870228605153	1	3
0	1	3
0.0121065170042872	1	3
0.0149809829487049	1	3
0.0267417083998144	1	4
0.0243178047885544	2	4
-0.0555993808651558	3	4
0.0324691434684842	1	4
0.0275122254213778	2	4
-0.0508681611112608	3	4
0.0270055448483891	1	4
0.024342737072569	2	4
-0.0700605278561526	3	4
0.0274585231423136	1	4
0.0296921230095535	2	4
-0.0330120536732694	3	4
0.0274843479380238	1	4
0.0265303977469478	2	4
-0.0366778519618191	3	4
0.0289238453841878	1	4
0.0240759599683492	2	4
-0.0306126761973989	3	4
0.0143461573880632	1	4
0.0306729342021042	2	4
-0.0423756616897	3	4
0.020941823858894	1	4
0.0150493830233808	2	4
-0.0313027598628417	3	4
0.0305655058150014	1	4
0.0227171117220371	2	4
-0.0390464125708832	3	4
0.0257723013202963	1	4
0.023037509993386	2	4
-0.0348225959849537	3	4
