colour	x	xend	y	yend	tooltip	showSelected1	PANEL
#FFC1AC	-0.0137230378620536	0.0401078166962689	1	1	0.324897212918077	IC_Form.district.leadership.team..DLT....see.Bluep...	1
#FFF1EC	-0.0137230378620536	0.0401078166962689	1	1	0.0726287676748361	IC_Designate.district.level.contact.person.	1
#FFB8A1	-0.0137230378620536	0.0401078166962689	1	1	0.37063600089516	IC_Designate.building.level.contact.person..for.ea...	1
#FF9779	-0.0137230378620536	0.0401078166962689	1	1	0.534564509837872	IC_Develop.protocol.for.maintaining.ongoing.commun...	1
#FFAC92	-0.0137230378620536	0.0401078166962689	1	1	0.431896640734161	IC_Develop.a.district.wide.plan.for.consistent.and...	1
#FF9679	-0.0137230378620536	0.0401078166962689	1	1	0.536508602329449	IC_Identify.a.process.for.monitoring.progress.of.t...	1
#FF0000	-0.0137230378620536	0.0401078166962689	1	1	1	IC_Administer.Self.Assessment.Practice.Profile.at....	1
#FFBCA6	-0.0137230378620536	0.0401078166962689	1	1	0.350534434593958	IC_Administer.implementation.survey..e.g..Collabor...	1
#FFA78C	-0.0137230378620536	0.0401078166962689	1	1	0.453613365075094	IC_Use.technology.to.increase.the.quality.and.time...	1
#FFAC93	-0.0137230378620536	0.0401078166962689	1	1	0.428575131078385	IC_Participate.in.regional..cadre..and.state.event...	1
#FF7F5E	-0.0137230378620536	0.0401078166962689	1	1	0.646594050784722	IC_Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	1
#FF9F83	-0.0137230378620536	0.0401078166962689	1	1	0.49440554261351	IC_Develop.and.implement.protocol.for.conducting.w...	1
#FFA287	-0.0137230378620536	0.0401078166962689	1	1	0.477626553613958	IC_Annually..summarize.district.wide.fidelity.and....	1
#FF9374	-0.0137230378620536	0.0401078166962689	1	1	0.555551223025923	IC_Establish.district..and.building.level.goal.s.....	1
#FFA084	-0.0137230378620536	0.0401078166962689	1	1	0.48829363861737	IC_Revisit.and.revise.PD.plans.based.on.data.	1
#FF9B7E	-0.0137230378620536	0.0401078166962689	1	1	0.513997771684288	IC_Develop.timelines.and.expectations.aligning.imp...	1
#FFB199	-0.0137230378620536	0.0401078166962689	1	1	0.403327171434235	IC_Align.implementation.goals.with.CSIP..Comprehen...	1
#FF7150	-0.0137230378620536	0.0401078166962689	1	1	0.708043444387868	IC_Teacher_leader_growth_mindset_In_Place	1
#FF7654	-0.0137230378620536	0.0401078166962689	1	1	0.689465621980257	IC_Total_amount_in_place	1
#FFBBA5	-0.0137230378620536	0.0401078166962689	2	2	0.352002542558835	IC_Form.district.leadership.team..DLT....see.Bluep...	1
#FFC3AF	-0.0137230378620536	0.0401078166962689	2	2	0.314188958809704	IC_Designate.district.level.contact.person.	1
#FF0000	-0.0137230378620536	0.0401078166962689	2	2	1	IC_Designate.building.level.contact.person..for.ea...	1
#FFB49C	-0.0137230378620536	0.0401078166962689	2	2	0.388562852202935	IC_Develop.protocol.for.maintaining.ongoing.commun...	1
#FFAD93	-0.0137230378620536	0.0401078166962689	2	2	0.426898550100916	IC_Develop.a.district.wide.plan.for.consistent.and...	1
#FFC7B4	-0.0137230378620536	0.0401078166962689	2	2	0.291971046776422	IC_Identify.a.process.for.monitoring.progress.of.t...	1
#FFB8A1	-0.0137230378620536	0.0401078166962689	2	2	0.37063600089516	IC_Administer.Self.Assessment.Practice.Profile.at....	1
#FFD9CC	-0.0137230378620536	0.0401078166962689	2	2	0.198261940082982	IC_Administer.implementation.survey..e.g..Collabor...	1
#FFCDBB	-0.0137230378620536	0.0401078166962689	2	2	0.262824037758337	IC_Use.technology.to.increase.the.quality.and.time...	1
#FFD8CA	-0.0137230378620536	0.0401078166962689	2	2	0.204304258368185	IC_Participate.in.regional..cadre..and.state.event...	1
#FFB69E	-0.0137230378620536	0.0401078166962689	2	2	0.380189131754752	IC_Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	1
#FFD1C1	-0.0137230378620536	0.0401078166962689	2	2	0.238945661656369	IC_Develop.and.implement.protocol.for.conducting.w...	1
#FFD4C6	-0.0137230378620536	0.0401078166962689	2	2	0.222425509195926	IC_Annually..summarize.district.wide.fidelity.and....	1
#FFD0BF	-0.0137230378620536	0.0401078166962689	2	2	0.247941826006861	IC_Establish.district..and.building.level.goal.s.....	1
#FFD6C7	-0.0137230378620536	0.0401078166962689	2	2	0.215967987585296	IC_Revisit.and.revise.PD.plans.based.on.data.	1
#FFC8B5	-0.0137230378620536	0.0401078166962689	2	2	0.287590248230166	IC_Develop.timelines.and.expectations.aligning.imp...	1
#FFD3C4	-0.0137230378620536	0.0401078166962689	2	2	0.230216480979067	IC_Align.implementation.goals.with.CSIP..Comprehen...	1
#FFCCBB	-0.0137230378620536	0.0401078166962689	2	2	0.264981866317592	IC_Teacher_leader_growth_mindset_In_Place	1
#FFB39B	-0.0137230378620536	0.0401078166962689	2	2	0.395601362208105	IC_Total_amount_in_place	1
#FFB299	-0.0137230378620536	0.0401078166962689	3	3	0.40047133868294	IC_Form.district.leadership.team..DLT....see.Bluep...	1
#FFDDD1	-0.0137230378620536	0.0401078166962689	3	3	0.178699735182931	IC_Designate.district.level.contact.person.	1
#FFB49C	-0.0137230378620536	0.0401078166962689	3	3	0.388562852202935	IC_Designate.building.level.contact.person..for.ea...	1
#FF0000	-0.0137230378620536	0.0401078166962689	3	3	1	IC_Develop.protocol.for.maintaining.ongoing.commun...	1
#FF8160	-0.0137230378620536	0.0401078166962689	3	3	0.637891829042081	IC_Develop.a.district.wide.plan.for.consistent.and...	1
#FF9678	-0.0137230378620536	0.0401078166962689	3	3	0.540618515599011	IC_Identify.a.process.for.monitoring.progress.of.t...	1
#FF9779	-0.0137230378620536	0.0401078166962689	3	3	0.534564509837872	IC_Administer.Self.Assessment.Practice.Profile.at....	1
#FFCFBE	-0.0137230378620536	0.0401078166962689	3	3	0.25265552331413	IC_Administer.implementation.survey..e.g..Collabor...	1
#FF8F70	-0.0137230378620536	0.0401078166962689	3	3	0.573084157844596	IC_Use.technology.to.increase.the.quality.and.time...	1
#FFB69E	-0.0137230378620536	0.0401078166962689	3	3	0.380335004150811	IC_Participate.in.regional..cadre..and.state.event...	1
#FF9779	-0.0137230378620536	0.0401078166962689	3	3	0.532736571597973	IC_Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	1
#FFB29A	-0.0137230378620536	0.0401078166962689	3	3	0.398268313894256	IC_Develop.and.implement.protocol.for.conducting.w...	1
#FFAF96	-0.0137230378620536	0.0401078166962689	3	3	0.414398351861606	IC_Annually..summarize.district.wide.fidelity.and....	1
#FFB8A1	-0.0137230378620536	0.0401078166962689	3	3	0.369066710713805	IC_Establish.district..and.building.level.goal.s.....	1
#FFAB91	-0.0137230378620536	0.0401078166962689	3	3	0.433984494187783	IC_Revisit.and.revise.PD.plans.based.on.data.	1
#FFA78C	-0.0137230378620536	0.0401078166962689	3	3	0.456656642681064	IC_Develop.timelines.and.expectations.aligning.imp...	1
#FFB59E	-0.0137230378620536	0.0401078166962689	3	3	0.383240088326092	IC_Align.implementation.goals.with.CSIP..Comprehen...	1
#FF9C7F	-0.0137230378620536	0.0401078166962689	3	3	0.510386466830403	IC_Teacher_leader_growth_mindset_In_Place	1
#FF7C5B	-0.0137230378620536	0.0401078166962689	3	3	0.663327818106001	IC_Total_amount_in_place	1
#FFE1D6	-0.0137230378620536	0.0401078166962689	4	4	0.159119289213558	IC_Form.district.leadership.team..DLT....see.Bluep...	1
#FFF5F2	-0.0137230378620536	0.0401078166962689	4	4	0.0510852961432106	IC_Designate.district.level.contact.person.	1
#FFD0BF	-0.0137230378620536	0.0401078166962689	4	4	0.247941826006861	IC_Designate.building.level.contact.person..for.ea...	1
#FFB8A1	-0.0137230378620536	0.0401078166962689	4	4	0.369066710713805	IC_Develop.protocol.for.maintaining.ongoing.commun...	1
#FFC0AB	-0.0137230378620536	0.0401078166962689	4	4	0.328593218997191	IC_Develop.a.district.wide.plan.for.consistent.and...	1
#FF9374	-0.0137230378620536	0.0401078166962689	4	4	0.553493128586908	IC_Identify.a.process.for.monitoring.progress.of.t...	1
#FF9374	-0.0137230378620536	0.0401078166962689	4	4	0.555551223025923	IC_Administer.Self.Assessment.Practice.Profile.at....	1
#FFC6B3	-0.0137230378620536	0.0401078166962689	4	4	0.296638320449483	IC_Administer.implementation.survey..e.g..Collabor...	1
#FFAF96	-0.0137230378620536	0.0401078166962689	4	4	0.414242339623288	IC_Use.technology.to.increase.the.quality.and.time...	1
#FFBCA6	-0.0137230378620536	0.0401078166962689	4	4	0.348234196939126	IC_Participate.in.regional..cadre..and.state.event...	1
#FF9678	-0.0137230378620536	0.0401078166962689	4	4	0.537290978148908	IC_Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	1
#FF9071	-0.0137230378620536	0.0401078166962689	4	4	0.566407525914717	IC_Develop.and.implement.protocol.for.conducting.w...	1
#FF896A	-0.0137230378620536	0.0401078166962689	4	4	0.599525205667803	IC_Annually..summarize.district.wide.fidelity.and....	1
