fill	x	y	key	tooltip	clickSelects	showSelected1	group	xmin	xmax	ymin	ymax	colour	size
#FFC1AC	1	-8	Administer.Self.Assessment.Practice.Profile.at....	0.324897212918077	Administer.Self.Assessment.Practice.Profile.at....	Form.district.leadership.team..DLT....see.Bluep...	21	0.5	1.5	-8.5	-7.5	#FFC1AC	0
#FFF1EC	1	-15	Administer.Self.Assessment.Practice.Profile.at....	0.0726287676748361	Administer.Self.Assessment.Practice.Profile.at....	Designate.district.level.contact.person.	22	0.5	1.5	-15.5	-14.5	#FFF1EC	0
#FFB8A1	1	-6	Administer.Self.Assessment.Practice.Profile.at....	0.37063600089516	Administer.Self.Assessment.Practice.Profile.at....	Designate.building.level.contact.person..for.ea...	23	0.5	1.5	-6.5	-5.5	#FFB8A1	0
#FF9779	1	-6	Administer.Self.Assessment.Practice.Profile.at....	0.534564509837872	Administer.Self.Assessment.Practice.Profile.at....	Develop.protocol.for.maintaining.ongoing.commun...	24	0.5	1.5	-6.5	-5.5	#FF9779	0
#FFAC92	1	-12	Administer.Self.Assessment.Practice.Profile.at....	0.431896640734161	Administer.Self.Assessment.Practice.Profile.at....	Develop.a.district.wide.plan.for.consistent.and...	25	0.5	1.5	-12.5	-11.5	#FFAC92	0
#FF9679	1	-9	Administer.Self.Assessment.Practice.Profile.at....	0.536508602329449	Administer.Self.Assessment.Practice.Profile.at....	Identify.a.process.for.monitoring.progress.of.t...	26	0.5	1.5	-9.5	-8.5	#FF9679	0
#FF0000	1	-1	Administer.Self.Assessment.Practice.Profile.at....	1	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	27	0.5	1.5	-1.5	-0.5	#FF0000	0
#FFBCA6	1	-5	Administer.Self.Assessment.Practice.Profile.at....	0.350534434593958	Administer.Self.Assessment.Practice.Profile.at....	Administer.implementation.survey..e.g..Collabor...	28	0.5	1.5	-5.5	-4.5	#FFBCA6	0
#FFA78C	1	-12	Administer.Self.Assessment.Practice.Profile.at....	0.453613365075094	Administer.Self.Assessment.Practice.Profile.at....	Use.technology.to.increase.the.quality.and.time...	29	0.5	1.5	-12.5	-11.5	#FFA78C	0
#FFAC93	1	-2	Administer.Self.Assessment.Practice.Profile.at....	0.428575131078385	Administer.Self.Assessment.Practice.Profile.at....	Participate.in.regional..cadre..and.state.event...	30	0.5	1.5	-2.5	-1.5	#FFAC93	0
#FF7F5E	1	-4	Administer.Self.Assessment.Practice.Profile.at....	0.646594050784722	Administer.Self.Assessment.Practice.Profile.at....	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	31	0.5	1.5	-4.5	-3.5	#FF7F5E	0
#FF9F83	1	-10	Administer.Self.Assessment.Practice.Profile.at....	0.49440554261351	Administer.Self.Assessment.Practice.Profile.at....	Develop.and.implement.protocol.for.conducting.w...	32	0.5	1.5	-10.5	-9.5	#FF9F83	0
#FFA287	1	-12	Administer.Self.Assessment.Practice.Profile.at....	0.477626553613958	Administer.Self.Assessment.Practice.Profile.at....	Annually..summarize.district.wide.fidelity.and....	33	0.5	1.5	-12.5	-11.5	#FFA287	0
#FF9374	1	-8	Administer.Self.Assessment.Practice.Profile.at....	0.555551223025923	Administer.Self.Assessment.Practice.Profile.at....	Establish.district..and.building.level.goal.s.....	34	0.5	1.5	-8.5	-7.5	#FF9374	0
#FFA084	1	-10	Administer.Self.Assessment.Practice.Profile.at....	0.48829363861737	Administer.Self.Assessment.Practice.Profile.at....	Revisit.and.revise.PD.plans.based.on.data.	35	0.5	1.5	-10.5	-9.5	#FFA084	0
#FF9B7E	1	-12	Administer.Self.Assessment.Practice.Profile.at....	0.513997771684288	Administer.Self.Assessment.Practice.Profile.at....	Develop.timelines.and.expectations.aligning.imp...	36	0.5	1.5	-12.5	-11.5	#FF9B7E	0
#FFB199	1	-12	Administer.Self.Assessment.Practice.Profile.at....	0.403327171434235	Administer.Self.Assessment.Practice.Profile.at....	Align.implementation.goals.with.CSIP..Comprehen...	37	0.5	1.5	-12.5	-11.5	#FFB199	0
#FF7150	1	-4	Administer.Self.Assessment.Practice.Profile.at....	0.708043444387868	Administer.Self.Assessment.Practice.Profile.at....	Teacher_leader_growth_mindset_In_Place	38	0.5	1.5	-4.5	-3.5	#FF7150	0
#FF7654	1	-7	Administer.Self.Assessment.Practice.Profile.at....	0.689465621980257	Administer.Self.Assessment.Practice.Profile.at....	Total_amount_in_place	39	0.5	1.5	-7.5	-6.5	#FF7654	0
#FFDED2	1	-16	Administer.Self.Assessment.Practice.Profile.at....	0.172428791633754	Administer.Self.Assessment.Practice.Profile.at....	ETLP_avg	40	0.5	1.5	-16.5	-15.5	#FFDED2	0
#FFDFD4	1	-18	Administer.implementation.survey..e.g..Collabor...	0.167534705867672	Administer.implementation.survey..e.g..Collabor...	Form.district.leadership.team..DLT....see.Bluep...	1	0.5	1.5	-18.5	-17.5	#FFDFD4	0
#FFF7F4	1	-19	Administer.implementation.survey..e.g..Collabor...	0.0416079926019262	Administer.implementation.survey..e.g..Collabor...	Designate.district.level.contact.person.	2	0.5	1.5	-19.5	-18.5	#FFF7F4	0
#FFD9CC	1	-19	Administer.implementation.survey..e.g..Collabor...	0.198261940082982	Administer.implementation.survey..e.g..Collabor...	Designate.building.level.contact.person..for.ea...	3	0.5	1.5	-19.5	-18.5	#FFD9CC	0
#FFCFBE	1	-18	Administer.implementation.survey..e.g..Collabor...	0.25265552331413	Administer.implementation.survey..e.g..Collabor...	Develop.protocol.for.maintaining.ongoing.commun...	4	0.5	1.5	-18.5	-17.5	#FFCFBE	0
#FFD0C0	1	-18	Administer.implementation.survey..e.g..Collabor...	0.244798515070712	Administer.implementation.survey..e.g..Collabor...	Develop.a.district.wide.plan.for.consistent.and...	5	0.5	1.5	-18.5	-17.5	#FFD0C0	0
#FFC8B6	1	-19	Administer.implementation.survey..e.g..Collabor...	0.285550260751397	Administer.implementation.survey..e.g..Collabor...	Identify.a.process.for.monitoring.progress.of.t...	6	0.5	1.5	-19.5	-18.5	#FFC8B6	0
#FFBCA6	1	-17	Administer.implementation.survey..e.g..Collabor...	0.350534434593958	Administer.implementation.survey..e.g..Collabor...	Administer.Self.Assessment.Practice.Profile.at....	7	0.5	1.5	-17.5	-16.5	#FFBCA6	0
#FF0000	1	-1	Administer.implementation.survey..e.g..Collabor...	1	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	8	0.5	1.5	-1.5	-0.5	#FF0000	0
#FFD0C0	1	-17	Administer.implementation.survey..e.g..Collabor...	0.245355759940124	Administer.implementation.survey..e.g..Collabor...	Use.technology.to.increase.the.quality.and.time...	9	0.5	1.5	-17.5	-16.5	#FFD0C0	0
#FFDFD3	1	-18	Administer.implementation.survey..e.g..Collabor...	0.168174887327998	Administer.implementation.survey..e.g..Collabor...	Participate.in.regional..cadre..and.state.event...	10	0.5	1.5	-18.5	-17.5	#FFDFD3	0
#FFBAA3	1	-16	Administer.implementation.survey..e.g..Collabor...	0.36066342750557	Administer.implementation.survey..e.g..Collabor...	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	11	0.5	1.5	-16.5	-15.5	#FFBAA3	0
#FFDACD	1	-18	Administer.implementation.survey..e.g..Collabor...	0.195095221329917	Administer.implementation.survey..e.g..Collabor...	Develop.and.implement.protocol.for.conducting.w...	12	0.5	1.5	-18.5	-17.5	#FFDACD	0
#FFCAB8	1	-17	Administer.implementation.survey..e.g..Collabor...	0.276905318948109	Administer.implementation.survey..e.g..Collabor...	Annually..summarize.district.wide.fidelity.and....	13	0.5	1.5	-17.5	-16.5	#FFCAB8	0
#FFC6B3	1	-16	Administer.implementation.survey..e.g..Collabor...	0.296638320449483	Administer.implementation.survey..e.g..Collabor...	Establish.district..and.building.level.goal.s.....	14	0.5	1.5	-16.5	-15.5	#FFC6B3	0
#FFC1AC	1	-15	Administer.implementation.survey..e.g..Collabor...	0.323490808177683	Administer.implementation.survey..e.g..Collabor...	Revisit.and.revise.PD.plans.based.on.data.	15	0.5	1.5	-15.5	-14.5	#FFC1AC	0
#FFD3C4	1	-19	Administer.implementation.survey..e.g..Collabor...	0.230388680332536	Administer.implementation.survey..e.g..Collabor...	Develop.timelines.and.expectations.aligning.imp...	16	0.5	1.5	-19.5	-18.5	#FFD3C4	0
#FFD5C6	1	-19	Administer.implementation.survey..e.g..Collabor...	0.221141014012163	Administer.implementation.survey..e.g..Collabor...	Align.implementation.goals.with.CSIP..Comprehen...	17	0.5	1.5	-19.5	-18.5	#FFD5C6	0
#FFA489	1	-15	Administer.implementation.survey..e.g..Collabor...	0.46952498100492	Administer.implementation.survey..e.g..Collabor...	Teacher_leader_growth_mindset_In_Place	18	0.5	1.5	-15.5	-14.5	#FFA489	0
#FFA88D	1	-15	Administer.implementation.survey..e.g..Collabor...	0.451263638931702	Administer.implementation.survey..e.g..Collabor...	Total_amount_in_place	19	0.5	1.5	-15.5	-14.5	#FFA88D	0
#FFD3C3	1	-12	Administer.implementation.survey..e.g..Collabor...	0.232404594014709	Administer.implementation.survey..e.g..Collabor...	ETLP_avg	20	0.5	1.5	-12.5	-11.5	#FFD3C3	0
#FFCFBF	1	-13	Align.implementation.goals.with.CSIP..Comprehen...	0.250169670836726	Align.implementation.goals.with.CSIP..Comprehen...	Form.district.leadership.team..DLT....see.Bluep...	41	0.5	1.5	-13.5	-12.5	#FFCFBF	0
#FFEFE9	1	-12	Align.implementation.goals.with.CSIP..Comprehen...	0.0835355268008614	Align.implementation.goals.with.CSIP..Comprehen...	Designate.district.level.contact.person.	42	0.5	1.5	-12.5	-11.5	#FFEFE9	0
#FFD3C4	1	-15	Align.implementation.goals.with.CSIP..Comprehen...	0.230216480979067	Align.implementation.goals.with.CSIP..Comprehen...	Designate.building.level.contact.person..for.ea...	43	0.5	1.5	-15.5	-14.5	#FFD3C4	0
#FFB59E	1	-15	Align.implementation.goals.with.CSIP..Comprehen...	0.383240088326092	Align.implementation.goals.with.CSIP..Comprehen...	Develop.protocol.for.maintaining.ongoing.commun...	44	0.5	1.5	-15.5	-14.5	#FFB59E	0
#FFA78C	1	-8	Align.implementation.goals.with.CSIP..Comprehen...	0.454708921555219	Align.implementation.goals.with.CSIP..Comprehen...	Develop.a.district.wide.plan.for.consistent.and...	45	0.5	1.5	-8.5	-7.5	#FFA78C	0
#FFAB92	1	-14	Align.implementation.goals.with.CSIP..Comprehen...	0.432607699906706	Align.implementation.goals.with.CSIP..Comprehen...	Identify.a.process.for.monitoring.progress.of.t...	46	0.5	1.5	-14.5	-13.5	#FFAB92	0
#FFB199	1	-15	Align.implementation.goals.with.CSIP..Comprehen...	0.403327171434235	Align.implementation.goals.with.CSIP..Comprehen...	Administer.Self.Assessment.Practice.Profile.at....	47	0.5	1.5	-15.5	-14.5	#FFB199	0
#FFD5C6	1	-15	Align.implementation.goals.with.CSIP..Comprehen...	0.221141014012163	Align.implementation.goals.with.CSIP..Comprehen...	Administer.implementation.survey..e.g..Collabor...	48	0.5	1.5	-15.5	-14.5	#FFD5C6	0
#FFB49C	1	-14	Align.implementation.goals.with.CSIP..Comprehen...	0.390345592979366	Align.implementation.goals.with.CSIP..Comprehen...	Use.technology.to.increase.the.quality.and.time...	49	0.5	1.5	-14.5	-13.5	#FFB49C	0
#FFBAA4	1	-8	Align.implementation.goals.with.CSIP..Comprehen...	0.356661503874277	Align.implementation.goals.with.CSIP..Comprehen...	Participate.in.regional..cadre..and.state.event...	50	0.5	1.5	-8.5	-7.5	#FFBAA4	0
#FFAD94	1	-14	Align.implementation.goals.with.CSIP..Comprehen...	0.423555848173312	Align.implementation.goals.with.CSIP..Comprehen...	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	51	0.5	1.5	-14.5	-13.5	#FFAD94	0
