group	fill	y	tooltip	ymin	ymax	colour
1	#FFB199	-12	0.403327171434235	-12.5	-11.5	#FFB199
2	#FFD5C6	-18	0.221141014012163	-18.5	-17.5	#FFD5C6
3	#FF0000	-1	1	-1.5	-0.5	#FF0000
4	#FFA083	-5	0.491882048846075	-5.5	-4.5	#FFA083
5	#FFD3C4	-17	0.230216480979067	-17.5	-16.5	#FFD3C4
6	#FFEFE9	-19	0.0835355268008614	-19.5	-18.5	#FFEFE9
7	#FFA78C	-9	0.454708921555219	-9.5	-8.5	#FFA78C
8	#FFA489	-8	0.467798452244996	-8.5	-7.5	#FFA489
9	#FFB59E	-14	0.383240088326092	-14.5	-13.5	#FFB59E
10	#FF805F	-2	0.644732592247594	-2.5	-1.5	#FF805F
11	#FFA286	-7	0.481039649936568	-7.5	-6.5	#FFA286
12	#FFCFBF	-16	0.250169670836726	-16.5	-15.5	#FFCFBF
13	#FFAB92	-10	0.432607699906706	-10.5	-9.5	#FFAB92
14	#FFBAA4	-15	0.356661503874277	-15.5	-14.5	#FFBAA4
15	#FFA286	-6	0.481968677151547	-6.5	-5.5	#FFA286
16	#FFAD94	-11	0.423555848173312	-11.5	-10.5	#FFAD94
17	#FF977A	-4	0.531552755917045	-4.5	-3.5	#FF977A
18	#FF8262	-3	0.63281515202809	-3.5	-2.5	#FF8262
19	#FFB49C	-13	0.390345592979366	-13.5	-12.5	#FFB49C
