x	key	clickSelects	xmin	xmax	size	group
1	IC_Administer.Self.Assessment.Practice.Profile.at....	IC_Administer.Self.Assessment.Practice.Profile.at....	0.5	1.5	0	1
1	IC_Administer.implementation.survey..e.g..Collabor...	IC_Administer.implementation.survey..e.g..Collabor...	0.5	1.5	0	2
1	IC_Align.implementation.goals.with.CSIP..Comprehen...	IC_Align.implementation.goals.with.CSIP..Comprehen...	0.5	1.5	0	3
1	IC_Annually..summarize.district.wide.fidelity.and....	IC_Annually..summarize.district.wide.fidelity.and....	0.5	1.5	0	4
1	IC_Designate.building.level.contact.person..for.ea...	IC_Designate.building.level.contact.person..for.ea...	0.5	1.5	0	5
1	IC_Designate.district.level.contact.person.	IC_Designate.district.level.contact.person.	0.5	1.5	0	6
1	IC_Develop.a.district.wide.plan.for.consistent.and...	IC_Develop.a.district.wide.plan.for.consistent.and...	0.5	1.5	0	7
1	IC_Develop.and.implement.protocol.for.conducting.w...	IC_Develop.and.implement.protocol.for.conducting.w...	0.5	1.5	0	8
1	IC_Develop.protocol.for.maintaining.ongoing.commun...	IC_Develop.protocol.for.maintaining.ongoing.commun...	0.5	1.5	0	9
1	IC_Develop.timelines.and.expectations.aligning.imp...	IC_Develop.timelines.and.expectations.aligning.imp...	0.5	1.5	0	10
1	IC_Establish.district..and.building.level.goal.s.....	IC_Establish.district..and.building.level.goal.s.....	0.5	1.5	0	11
1	IC_Form.district.leadership.team..DLT....see.Bluep...	IC_Form.district.leadership.team..DLT....see.Bluep...	0.5	1.5	0	12
1	IC_Identify.a.process.for.monitoring.progress.of.t...	IC_Identify.a.process.for.monitoring.progress.of.t...	0.5	1.5	0	13
1	IC_Participate.in.regional..cadre..and.state.event...	IC_Participate.in.regional..cadre..and.state.event...	0.5	1.5	0	14
1	IC_Revisit.and.revise.PD.plans.based.on.data.	IC_Revisit.and.revise.PD.plans.based.on.data.	0.5	1.5	0	15
1	IC_Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	IC_Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	0.5	1.5	0	16
1	IC_Teacher_leader_growth_mindset_In_Place	IC_Teacher_leader_growth_mindset_In_Place	0.5	1.5	0	17
1	IC_Total_amount_in_place	IC_Total_amount_in_place	0.5	1.5	0	18
1	IC_Use.technology.to.increase.the.quality.and.time...	IC_Use.technology.to.increase.the.quality.and.time...	0.5	1.5	0	19
