label	group	x	y
Form.district.leadership.team..DLT....see.Bluep...	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.building.level.contact.person..for.ea...	-1	0	0
Develop.protocol.for.maintaining.ongoing.commun...	-1	0	0
Develop.a.district.wide.plan.for.consistent.and...	-1	0	0
Identify.a.process.for.monitoring.progress.of.t...	-1	0	0
Administer.Self.Assessment.Practice.Profile.at....	-1	0	0
Administer.implementation.survey..e.g..Collabor...	-1	0	0
Use.technology.to.increase.the.quality.and.time...	-1	0	0
Participate.in.regional..cadre..and.state.event...	-1	0	0
Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	-1	0	0
Develop.and.implement.protocol.for.conducting.w...	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Establish.district..and.building.level.goal.s.....	-1	0	0
Revisit.and.revise.PD.plans.based.on.data.	-1	0	0
Develop.timelines.and.expectations.aligning.imp...	-1	0	0
Align.implementation.goals.with.CSIP..Comprehen...	-1	0	0
Teacher.leader.growth.mindset.In.Place	-1	0	0
Total.amount.in.place	-1	0	0
Form.district.leadership.team..DLT....see.Bluep...	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.building.level.contact.person..for.ea...	-1	0	0
Develop.protocol.for.maintaining.ongoing.commun...	-1	0	0
Develop.a.district.wide.plan.for.consistent.and...	-1	0	0
Identify.a.process.for.monitoring.progress.of.t...	-1	0	0
Administer.Self.Assessment.Practice.Profile.at....	-1	0	0
Administer.implementation.survey..e.g..Collabor...	-1	0	0
Use.technology.to.increase.the.quality.and.time...	-1	0	0
Participate.in.regional..cadre..and.state.event...	-1	0	0
Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	-1	0	0
Develop.and.implement.protocol.for.conducting.w...	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Establish.district..and.building.level.goal.s.....	-1	0	0
Revisit.and.revise.PD.plans.based.on.data.	-1	0	0
Develop.timelines.and.expectations.aligning.imp...	-1	0	0
Align.implementation.goals.with.CSIP..Comprehen...	-1	0	0
Teacher.leader.growth.mindset.In.Place	-1	0	0
Total.amount.in.place	-1	0	0
Form.district.leadership.team..DLT....see.Bluep...	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.building.level.contact.person..for.ea...	-1	0	0
Develop.protocol.for.maintaining.ongoing.commun...	-1	0	0
Develop.a.district.wide.plan.for.consistent.and...	-1	0	0
Identify.a.process.for.monitoring.progress.of.t...	-1	0	0
Administer.Self.Assessment.Practice.Profile.at....	-1	0	0
Administer.implementation.survey..e.g..Collabor...	-1	0	0
Use.technology.to.increase.the.quality.and.time...	-1	0	0
Participate.in.regional..cadre..and.state.event...	-1	0	0
Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	-1	0	0
Develop.and.implement.protocol.for.conducting.w...	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Establish.district..and.building.level.goal.s.....	-1	0	0
Revisit.and.revise.PD.plans.based.on.data.	-1	0	0
Develop.timelines.and.expectations.aligning.imp...	-1	0	0
Align.implementation.goals.with.CSIP..Comprehen...	-1	0	0
Teacher.leader.growth.mindset.In.Place	-1	0	0
Total.amount.in.place	-1	0	0
Form.district.leadership.team..DLT....see.Bluep...	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.building.level.contact.person..for.ea...	-1	0	0
Develop.protocol.for.maintaining.ongoing.commun...	-1	0	0
Develop.a.district.wide.plan.for.consistent.and...	-1	0	0
Identify.a.process.for.monitoring.progress.of.t...	-1	0	0
Administer.Self.Assessment.Practice.Profile.at....	-1	0	0
Administer.implementation.survey..e.g..Collabor...	-1	0	0
Use.technology.to.increase.the.quality.and.time...	-1	0	0
Participate.in.regional..cadre..and.state.event...	-1	0	0
Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	-1	0	0
Develop.and.implement.protocol.for.conducting.w...	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Establish.district..and.building.level.goal.s.....	-1	0	0
Revisit.and.revise.PD.plans.based.on.data.	-1	0	0
Develop.timelines.and.expectations.aligning.imp...	-1	0	0
Align.implementation.goals.with.CSIP..Comprehen...	-1	0	0
Teacher.leader.growth.mindset.In.Place	-1	0	0
Total.amount.in.place	-1	0	0
Form.district.leadership.team..DLT....see.Bluep...	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.building.level.contact.person..for.ea...	-1	0	0
Develop.protocol.for.maintaining.ongoing.commun...	-1	0	0
Develop.a.district.wide.plan.for.consistent.and...	-1	0	0
Identify.a.process.for.monitoring.progress.of.t...	-1	0	0
Administer.Self.Assessment.Practice.Profile.at....	-1	0	0
Administer.implementation.survey..e.g..Collabor...	-1	0	0
Use.technology.to.increase.the.quality.and.time...	-1	0	0
Participate.in.regional..cadre..and.state.event...	-1	0	0
Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	-1	0	0
Develop.and.implement.protocol.for.conducting.w...	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Establish.district..and.building.level.goal.s.....	-1	0	0
Revisit.and.revise.PD.plans.based.on.data.	-1	0	0
Develop.timelines.and.expectations.aligning.imp...	-1	0	0
Align.implementation.goals.with.CSIP..Comprehen...	-1	0	0
Teacher.leader.growth.mindset.In.Place	-1	0	0
Total.amount.in.place	-1	0	0
Form.district.leadership.team..DLT....see.Bluep...	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.building.level.contact.person..for.ea...	-1	0	0
Develop.protocol.for.maintaining.ongoing.commun...	-1	0	0
Develop.a.district.wide.plan.for.consistent.and...	-1	0	0
Identify.a.process.for.monitoring.progress.of.t...	-1	0	0
Administer.Self.Assessment.Practice.Profile.at....	-1	0	0
Administer.implementation.survey..e.g..Collabor...	-1	0	0
Use.technology.to.increase.the.quality.and.time...	-1	0	0
Participate.in.regional..cadre..and.state.event...	-1	0	0
Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	-1	0	0
Develop.and.implement.protocol.for.conducting.w...	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Establish.district..and.building.level.goal.s.....	-1	0	0
Revisit.and.revise.PD.plans.based.on.data.	-1	0	0
Develop.timelines.and.expectations.aligning.imp...	-1	0	0
Align.implementation.goals.with.CSIP..Comprehen...	-1	0	0
Teacher.leader.growth.mindset.In.Place	-1	0	0
Total.amount.in.place	-1	0	0
Form.district.leadership.team..DLT....see.Bluep...	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.building.level.contact.person..for.ea...	-1	0	0
Develop.protocol.for.maintaining.ongoing.commun...	-1	0	0
Develop.a.district.wide.plan.for.consistent.and...	-1	0	0
Identify.a.process.for.monitoring.progress.of.t...	-1	0	0
Administer.Self.Assessment.Practice.Profile.at....	-1	0	0
Administer.implementation.survey..e.g..Collabor...	-1	0	0
Use.technology.to.increase.the.quality.and.time...	-1	0	0
Participate.in.regional..cadre..and.state.event...	-1	0	0
Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	-1	0	0
Develop.and.implement.protocol.for.conducting.w...	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Establish.district..and.building.level.goal.s.....	-1	0	0
Revisit.and.revise.PD.plans.based.on.data.	-1	0	0
Develop.timelines.and.expectations.aligning.imp...	-1	0	0
Align.implementation.goals.with.CSIP..Comprehen...	-1	0	0
Teacher.leader.growth.mindset.In.Place	-1	0	0
Total.amount.in.place	-1	0	0
Form.district.leadership.team..DLT....see.Bluep...	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.building.level.contact.person..for.ea...	-1	0	0
Develop.protocol.for.maintaining.ongoing.commun...	-1	0	0
Develop.a.district.wide.plan.for.consistent.and...	-1	0	0
Identify.a.process.for.monitoring.progress.of.t...	-1	0	0
Administer.Self.Assessment.Practice.Profile.at....	-1	0	0
Administer.implementation.survey..e.g..Collabor...	-1	0	0
Use.technology.to.increase.the.quality.and.time...	-1	0	0
Participate.in.regional..cadre..and.state.event...	-1	0	0
Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	-1	0	0
Develop.and.implement.protocol.for.conducting.w...	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Establish.district..and.building.level.goal.s.....	-1	0	0
Revisit.and.revise.PD.plans.based.on.data.	-1	0	0
Develop.timelines.and.expectations.aligning.imp...	-1	0	0
Align.implementation.goals.with.CSIP..Comprehen...	-1	0	0
Teacher.leader.growth.mindset.In.Place	-1	0	0
Total.amount.in.place	-1	0	0
Form.district.leadership.team..DLT....see.Bluep...	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.building.level.contact.person..for.ea...	-1	0	0
Develop.protocol.for.maintaining.ongoing.commun...	-1	0	0
Develop.a.district.wide.plan.for.consistent.and...	-1	0	0
Identify.a.process.for.monitoring.progress.of.t...	-1	0	0
Administer.Self.Assessment.Practice.Profile.at....	-1	0	0
Administer.implementation.survey..e.g..Collabor...	-1	0	0
Use.technology.to.increase.the.quality.and.time...	-1	0	0
Participate.in.regional..cadre..and.state.event...	-1	0	0
Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	-1	0	0
Develop.and.implement.protocol.for.conducting.w...	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Establish.district..and.building.level.goal.s.....	-1	0	0
Revisit.and.revise.PD.plans.based.on.data.	-1	0	0
Develop.timelines.and.expectations.aligning.imp...	-1	0	0
Align.implementation.goals.with.CSIP..Comprehen...	-1	0	0
Teacher.leader.growth.mindset.In.Place	-1	0	0
Total.amount.in.place	-1	0	0
Form.district.leadership.team..DLT....see.Bluep...	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.building.level.contact.person..for.ea...	-1	0	0
Develop.protocol.for.maintaining.ongoing.commun...	-1	0	0
Develop.a.district.wide.plan.for.consistent.and...	-1	0	0
Identify.a.process.for.monitoring.progress.of.t...	-1	0	0
Administer.Self.Assessment.Practice.Profile.at....	-1	0	0
Administer.implementation.survey..e.g..Collabor...	-1	0	0
Use.technology.to.increase.the.quality.and.time...	-1	0	0
Participate.in.regional..cadre..and.state.event...	-1	0	0
Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	-1	0	0
Develop.and.implement.protocol.for.conducting.w...	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Establish.district..and.building.level.goal.s.....	-1	0	0
Revisit.and.revise.PD.plans.based.on.data.	-1	0	0
Develop.timelines.and.expectations.aligning.imp...	-1	0	0
Align.implementation.goals.with.CSIP..Comprehen...	-1	0	0
Teacher.leader.growth.mindset.In.Place	-1	0	0
Total.amount.in.place	-1	0	0
Form.district.leadership.team..DLT....see.Bluep...	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.building.level.contact.person..for.ea...	-1	0	0
Develop.protocol.for.maintaining.ongoing.commun...	-1	0	0
Develop.a.district.wide.plan.for.consistent.and...	-1	0	0
Identify.a.process.for.monitoring.progress.of.t...	-1	0	0
Administer.Self.Assessment.Practice.Profile.at....	-1	0	0
Administer.implementation.survey..e.g..Collabor...	-1	0	0
Use.technology.to.increase.the.quality.and.time...	-1	0	0
Participate.in.regional..cadre..and.state.event...	-1	0	0
Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	-1	0	0
Develop.and.implement.protocol.for.conducting.w...	-1	0	0
Annually..summarize.district.wide.fidelity.and....	-1	0	0
Establish.district..and.building.level.goal.s.....	-1	0	0
Revisit.and.revise.PD.plans.based.on.data.	-1	0	0
Develop.timelines.and.expectations.aligning.imp...	-1	0	0
Align.implementation.goals.with.CSIP..Comprehen...	-1	0	0
Teacher.leader.growth.mindset.In.Place	-1	0	0
Total.amount.in.place	-1	0	0
Form.district.leadership.team..DLT....see.Bluep...	-1	0	0
Designate.district.level.contact.person.	-1	0	0
Designate.building.level.contact.person..for.ea...	-1	0	0
Develop.protocol.for.maintaining.ongoing.commun...	-1	0	0
Develop.a.district.wide.plan.for.consistent.and...	-1	0	0
Identify.a.process.for.monitoring.progress.of.t...	-1	0	0
Administer.Self.Assessment.Practice.Profile.at....	-1	0	0
Administer.implementation.survey..e.g..Collabor...	-1	0	0
Use.technology.to.increase.the.quality.and.time...	-1	0	0
