group	x
1	4
2	2
3	4
4	2
5	1
6	2
7	4
8	4
9	3
10	4
11	2
12	4
13	4
14	4
15	3
16	3
17	4
18	3
19	4
20	2
21	4
22	4
23	2
24	4
25	3
26	4
27	4
28	4
29	2
30	4
31	1
32	3
33	4
34	4
35	2
36	1
37	4
38	3
39	3
40	1
41	1
42	4
43	2
44	2
45	4
46	2
47	4
48	4
49	3
50	2
51	4
52	2
53	2
54	3
55	4
56	1
57	2
58	2
59	3
60	3
61	4
62	1
63	4
64	2
65	2
66	3
67	3
68	4
69	4
70	4
71	3
72	2
73	1
74	2
75	4
76	4
77	3
78	4
79	2
80	4
81	2
82	4
83	4
84	4
85	4
86	3
87	4
88	2
89	4
90	4
91	4
92	4
93	4
94	4
95	3
96	2
97	4
98	2
99	2
100	4
101	2
102	4
103	2
104	4
105	2
106	3
107	3
108	4
109	4
110	4
111	3
112	1
113	2
114	4
115	4
116	4
117	4
118	4
119	2
120	4
121	4
122	3
123	2
124	4
125	2
126	4
127	1
128	3
129	2
130	4
131	4
132	2
133	3
134	4
135	4
136	4
137	4
138	4
139	3
140	2
141	4
142	2
143	3
144	4
145	2
146	4
147	3
148	3
149	4
150	3
151	1
152	4
153	4
154	3
155	2
156	4
157	2
158	4
159	3
160	3
161	4
162	3
163	4
164	4
165	2
166	4
167	4
168	4
169	4
170	4
171	4
172	4
173	4
174	3
175	3
176	4
177	4
178	4
179	2
180	2
181	4
182	4
183	1
184	4
185	2
186	3
187	4
188	4
189	3
190	4
191	2
192	3
193	4
194	4
195	4
196	4
197	4
198	4
199	4
200	3
201	1
202	2
203	2
204	2
205	1
206	4
207	1
208	4
209	4
210	3
211	4
212	4
213	2
214	2
215	3
216	1
217	2
218	2
219	4
220	1
221	2
222	2
223	2
224	4
225	1
226	1
227	4
228	4
229	4
230	4
231	4
232	2
233	1
234	4
235	4
236	4
237	2
238	4
239	2
240	4
241	4
242	4
243	2
244	1
245	1
246	2
247	1
248	4
249	1
250	4
251	4
252	1
253	4
254	1
255	4
256	4
257	1
258	4
259	1
260	4
261	2
262	3
263	4
264	4
265	4
266	1
267	1
268	4
269	4
270	4
271	2
272	4
273	3
274	1
275	4
276	1
277	2
278	1
279	2
280	1
281	3
282	4
283	4
284	2
285	4
286	1
287	1
288	2
289	1
290	3
291	2
292	4
293	3
294	4
295	3
296	4
297	4
298	4
299	4
300	4
301	4
302	3
303	1
304	2
305	4
306	4
307	4
308	4
309	4
310	2
311	3
312	4
313	3
314	1
315	4
316	4
317	4
318	1
319	2
320	2
321	4
322	1
323	4
324	2
325	4
326	2
327	1
328	2
329	4
330	4
331	3
332	4
333	2
334	4
335	4
336	4
337	3
338	3
339	4
340	3
341	4
342	2
343	4
344	4
345	2
346	4
347	3
348	4
349	4
350	4
351	2
352	4
353	1
354	3
355	4
356	4
357	2
358	1
359	4
360	3
361	3
362	1
363	1
364	4
365	2
366	2
367	4
368	2
369	4
370	4
371	3
372	2
373	4
374	2
375	2
376	3
377	4
378	1
379	2
380	2
381	3
382	3
383	4
384	1
385	4
386	2
387	2
388	3
389	3
390	4
391	4
392	4
393	3
394	2
395	1
396	2
397	4
398	4
399	3
400	4
401	2
402	4
403	2
404	4
405	4
406	4
407	4
408	3
409	4
410	2
411	4
412	4
413	4
414	4
415	4
416	4
417	3
418	2
419	4
420	2
421	2
422	4
423	2
424	4
425	2
426	4
427	2
428	3
