x	y	label	clickSelects	showSelected1	group
2	-8.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Form.district.leadership.team..DLT....see.Bluep...	21
2	-15.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Designate.district.level.contact.person.	22
2	-6.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Designate.building.level.contact.person..for.ea...	23
2	-6.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Develop.protocol.for.maintaining.ongoing.commun...	24
2	-12.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Develop.a.district.wide.plan.for.consistent.and...	25
2	-9.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Identify.a.process.for.monitoring.progress.of.t...	26
2	-1.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	27
2	-5.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Administer.implementation.survey..e.g..Collabor...	28
2	-12.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Use.technology.to.increase.the.quality.and.time...	29
2	-2.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Participate.in.regional..cadre..and.state.event...	30
2	-4.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	31
2	-10.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Develop.and.implement.protocol.for.conducting.w...	32
2	-12.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Annually..summarize.district.wide.fidelity.and....	33
2	-8.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Establish.district..and.building.level.goal.s.....	34
2	-10.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Revisit.and.revise.PD.plans.based.on.data.	35
2	-12.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Develop.timelines.and.expectations.aligning.imp...	36
2	-12.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Align.implementation.goals.with.CSIP..Comprehen...	37
2	-4.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Teacher_leader_growth_mindset_In_Place	38
2	-7.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Total_amount_in_place	39
2	-16.3	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	ETLP_avg	40
2	-18.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Form.district.leadership.team..DLT....see.Bluep...	1
2	-19.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Designate.district.level.contact.person.	2
2	-19.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Designate.building.level.contact.person..for.ea...	3
2	-18.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Develop.protocol.for.maintaining.ongoing.commun...	4
2	-18.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Develop.a.district.wide.plan.for.consistent.and...	5
2	-19.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Identify.a.process.for.monitoring.progress.of.t...	6
2	-17.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Administer.Self.Assessment.Practice.Profile.at....	7
2	-1.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	8
2	-17.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Use.technology.to.increase.the.quality.and.time...	9
2	-18.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Participate.in.regional..cadre..and.state.event...	10
2	-16.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	11
2	-18.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Develop.and.implement.protocol.for.conducting.w...	12
2	-17.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Annually..summarize.district.wide.fidelity.and....	13
2	-16.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Establish.district..and.building.level.goal.s.....	14
2	-15.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Revisit.and.revise.PD.plans.based.on.data.	15
2	-19.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Develop.timelines.and.expectations.aligning.imp...	16
2	-19.3	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Align.implementation.goals.with.CSIP..Comprehen...	17
