x	y	label	showSelected1	showSelected2	group
2.5	1	Form.district.leadership.team..DLT....see.Bluep...	Form.district.leadership.team..DLT....see.Bluep...	Form.district.leadership.team..DLT....see.Bluep...	12
2.5	1	Designate.district.level.contact.person.	Designate.district.level.contact.person.	Form.district.leadership.team..DLT....see.Bluep...	31
2.5	1	Designate.building.level.contact.person..for.ea...	Designate.building.level.contact.person..for.ea...	Form.district.leadership.team..DLT....see.Bluep...	50
2.5	1	Develop.protocol.for.maintaining.ongoing.commun...	Develop.protocol.for.maintaining.ongoing.commun...	Form.district.leadership.team..DLT....see.Bluep...	69
2.5	1	Develop.a.district.wide.plan.for.consistent.and...	Develop.a.district.wide.plan.for.consistent.and...	Form.district.leadership.team..DLT....see.Bluep...	88
2.5	1	Identify.a.process.for.monitoring.progress.of.t...	Identify.a.process.for.monitoring.progress.of.t...	Form.district.leadership.team..DLT....see.Bluep...	107
2.5	1	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Form.district.leadership.team..DLT....see.Bluep...	126
2.5	1	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Form.district.leadership.team..DLT....see.Bluep...	145
2.5	1	Use.technology.to.increase.the.quality.and.time...	Use.technology.to.increase.the.quality.and.time...	Form.district.leadership.team..DLT....see.Bluep...	164
2.5	1	Participate.in.regional..cadre..and.state.event...	Participate.in.regional..cadre..and.state.event...	Form.district.leadership.team..DLT....see.Bluep...	183
2.5	1	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	Form.district.leadership.team..DLT....see.Bluep...	202
2.5	1	Develop.and.implement.protocol.for.conducting.w...	Develop.and.implement.protocol.for.conducting.w...	Form.district.leadership.team..DLT....see.Bluep...	221
2.5	1	Annually..summarize.district.wide.fidelity.and....	Annually..summarize.district.wide.fidelity.and....	Form.district.leadership.team..DLT....see.Bluep...	240
2.5	1	Establish.district..and.building.level.goal.s.....	Establish.district..and.building.level.goal.s.....	Form.district.leadership.team..DLT....see.Bluep...	259
2.5	1	Revisit.and.revise.PD.plans.based.on.data.	Revisit.and.revise.PD.plans.based.on.data.	Form.district.leadership.team..DLT....see.Bluep...	278
2.5	1	Develop.timelines.and.expectations.aligning.imp...	Develop.timelines.and.expectations.aligning.imp...	Form.district.leadership.team..DLT....see.Bluep...	297
2.5	1	Align.implementation.goals.with.CSIP..Comprehen...	Align.implementation.goals.with.CSIP..Comprehen...	Form.district.leadership.team..DLT....see.Bluep...	316
5	1	Teacher_leader_growth_mindset_In_Place	Teacher_leader_growth_mindset_In_Place	Form.district.leadership.team..DLT....see.Bluep...	335
8.5	1	Total_amount_in_place	Total_amount_in_place	Form.district.leadership.team..DLT....see.Bluep...	354
2.5	1	Form.district.leadership.team..DLT....see.Bluep...	Form.district.leadership.team..DLT....see.Bluep...	Designate.district.level.contact.person.	6
2.5	1	Designate.district.level.contact.person.	Designate.district.level.contact.person.	Designate.district.level.contact.person.	25
2.5	1	Designate.building.level.contact.person..for.ea...	Designate.building.level.contact.person..for.ea...	Designate.district.level.contact.person.	44
2.5	1	Develop.protocol.for.maintaining.ongoing.commun...	Develop.protocol.for.maintaining.ongoing.commun...	Designate.district.level.contact.person.	63
2.5	1	Develop.a.district.wide.plan.for.consistent.and...	Develop.a.district.wide.plan.for.consistent.and...	Designate.district.level.contact.person.	82
2.5	1	Identify.a.process.for.monitoring.progress.of.t...	Identify.a.process.for.monitoring.progress.of.t...	Designate.district.level.contact.person.	101
2.5	1	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Designate.district.level.contact.person.	120
2.5	1	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Designate.district.level.contact.person.	139
2.5	1	Use.technology.to.increase.the.quality.and.time...	Use.technology.to.increase.the.quality.and.time...	Designate.district.level.contact.person.	158
2.5	1	Participate.in.regional..cadre..and.state.event...	Participate.in.regional..cadre..and.state.event...	Designate.district.level.contact.person.	177
2.5	1	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	Designate.district.level.contact.person.	196
2.5	1	Develop.and.implement.protocol.for.conducting.w...	Develop.and.implement.protocol.for.conducting.w...	Designate.district.level.contact.person.	215
2.5	1	Annually..summarize.district.wide.fidelity.and....	Annually..summarize.district.wide.fidelity.and....	Designate.district.level.contact.person.	234
2.5	1	Establish.district..and.building.level.goal.s.....	Establish.district..and.building.level.goal.s.....	Designate.district.level.contact.person.	253
2.5	1	Revisit.and.revise.PD.plans.based.on.data.	Revisit.and.revise.PD.plans.based.on.data.	Designate.district.level.contact.person.	272
2.5	1	Develop.timelines.and.expectations.aligning.imp...	Develop.timelines.and.expectations.aligning.imp...	Designate.district.level.contact.person.	291
2.5	1	Align.implementation.goals.with.CSIP..Comprehen...	Align.implementation.goals.with.CSIP..Comprehen...	Designate.district.level.contact.person.	310
5	1	Teacher_leader_growth_mindset_In_Place	Teacher_leader_growth_mindset_In_Place	Designate.district.level.contact.person.	329
8.5	1	Total_amount_in_place	Total_amount_in_place	Designate.district.level.contact.person.	348
2.5	1	Form.district.leadership.team..DLT....see.Bluep...	Form.district.leadership.team..DLT....see.Bluep...	Designate.building.level.contact.person..for.ea...	5
2.5	1	Designate.district.level.contact.person.	Designate.district.level.contact.person.	Designate.building.level.contact.person..for.ea...	24
2.5	1	Designate.building.level.contact.person..for.ea...	Designate.building.level.contact.person..for.ea...	Designate.building.level.contact.person..for.ea...	43
2.5	1	Develop.protocol.for.maintaining.ongoing.commun...	Develop.protocol.for.maintaining.ongoing.commun...	Designate.building.level.contact.person..for.ea...	62
2.5	1	Develop.a.district.wide.plan.for.consistent.and...	Develop.a.district.wide.plan.for.consistent.and...	Designate.building.level.contact.person..for.ea...	81
2.5	1	Identify.a.process.for.monitoring.progress.of.t...	Identify.a.process.for.monitoring.progress.of.t...	Designate.building.level.contact.person..for.ea...	100
2.5	1	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Designate.building.level.contact.person..for.ea...	119
2.5	1	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Designate.building.level.contact.person..for.ea...	138
2.5	1	Use.technology.to.increase.the.quality.and.time...	Use.technology.to.increase.the.quality.and.time...	Designate.building.level.contact.person..for.ea...	157
2.5	1	Participate.in.regional..cadre..and.state.event...	Participate.in.regional..cadre..and.state.event...	Designate.building.level.contact.person..for.ea...	176
2.5	1	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	Designate.building.level.contact.person..for.ea...	195
2.5	1	Develop.and.implement.protocol.for.conducting.w...	Develop.and.implement.protocol.for.conducting.w...	Designate.building.level.contact.person..for.ea...	214
2.5	1	Annually..summarize.district.wide.fidelity.and....	Annually..summarize.district.wide.fidelity.and....	Designate.building.level.contact.person..for.ea...	233
2.5	1	Establish.district..and.building.level.goal.s.....	Establish.district..and.building.level.goal.s.....	Designate.building.level.contact.person..for.ea...	252
2.5	1	Revisit.and.revise.PD.plans.based.on.data.	Revisit.and.revise.PD.plans.based.on.data.	Designate.building.level.contact.person..for.ea...	271
2.5	1	Develop.timelines.and.expectations.aligning.imp...	Develop.timelines.and.expectations.aligning.imp...	Designate.building.level.contact.person..for.ea...	290
2.5	1	Align.implementation.goals.with.CSIP..Comprehen...	Align.implementation.goals.with.CSIP..Comprehen...	Designate.building.level.contact.person..for.ea...	309
5	1	Teacher_leader_growth_mindset_In_Place	Teacher_leader_growth_mindset_In_Place	Designate.building.level.contact.person..for.ea...	328
8.5	1	Total_amount_in_place	Total_amount_in_place	Designate.building.level.contact.person..for.ea...	347
2.5	1	Form.district.leadership.team..DLT....see.Bluep...	Form.district.leadership.team..DLT....see.Bluep...	Develop.protocol.for.maintaining.ongoing.commun...	9
2.5	1	Designate.district.level.contact.person.	Designate.district.level.contact.person.	Develop.protocol.for.maintaining.ongoing.commun...	28
2.5	1	Designate.building.level.contact.person..for.ea...	Designate.building.level.contact.person..for.ea...	Develop.protocol.for.maintaining.ongoing.commun...	47
2.5	1	Develop.protocol.for.maintaining.ongoing.commun...	Develop.protocol.for.maintaining.ongoing.commun...	Develop.protocol.for.maintaining.ongoing.commun...	66
2.5	1	Develop.a.district.wide.plan.for.consistent.and...	Develop.a.district.wide.plan.for.consistent.and...	Develop.protocol.for.maintaining.ongoing.commun...	85
2.5	1	Identify.a.process.for.monitoring.progress.of.t...	Identify.a.process.for.monitoring.progress.of.t...	Develop.protocol.for.maintaining.ongoing.commun...	104
2.5	1	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Develop.protocol.for.maintaining.ongoing.commun...	123
2.5	1	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Develop.protocol.for.maintaining.ongoing.commun...	142
2.5	1	Use.technology.to.increase.the.quality.and.time...	Use.technology.to.increase.the.quality.and.time...	Develop.protocol.for.maintaining.ongoing.commun...	161
2.5	1	Participate.in.regional..cadre..and.state.event...	Participate.in.regional..cadre..and.state.event...	Develop.protocol.for.maintaining.ongoing.commun...	180
2.5	1	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	Develop.protocol.for.maintaining.ongoing.commun...	199
2.5	1	Develop.and.implement.protocol.for.conducting.w...	Develop.and.implement.protocol.for.conducting.w...	Develop.protocol.for.maintaining.ongoing.commun...	218
2.5	1	Annually..summarize.district.wide.fidelity.and....	Annually..summarize.district.wide.fidelity.and....	Develop.protocol.for.maintaining.ongoing.commun...	237
2.5	1	Establish.district..and.building.level.goal.s.....	Establish.district..and.building.level.goal.s.....	Develop.protocol.for.maintaining.ongoing.commun...	256
2.5	1	Revisit.and.revise.PD.plans.based.on.data.	Revisit.and.revise.PD.plans.based.on.data.	Develop.protocol.for.maintaining.ongoing.commun...	275
2.5	1	Develop.timelines.and.expectations.aligning.imp...	Develop.timelines.and.expectations.aligning.imp...	Develop.protocol.for.maintaining.ongoing.commun...	294
2.5	1	Align.implementation.goals.with.CSIP..Comprehen...	Align.implementation.goals.with.CSIP..Comprehen...	Develop.protocol.for.maintaining.ongoing.commun...	313
5	1	Teacher_leader_growth_mindset_In_Place	Teacher_leader_growth_mindset_In_Place	Develop.protocol.for.maintaining.ongoing.commun...	332
8.5	1	Total_amount_in_place	Total_amount_in_place	Develop.protocol.for.maintaining.ongoing.commun...	351
2.5	1	Form.district.leadership.team..DLT....see.Bluep...	Form.district.leadership.team..DLT....see.Bluep...	Develop.a.district.wide.plan.for.consistent.and...	7
2.5	1	Designate.district.level.contact.person.	Designate.district.level.contact.person.	Develop.a.district.wide.plan.for.consistent.and...	26
2.5	1	Designate.building.level.contact.person..for.ea...	Designate.building.level.contact.person..for.ea...	Develop.a.district.wide.plan.for.consistent.and...	45
2.5	1	Develop.protocol.for.maintaining.ongoing.commun...	Develop.protocol.for.maintaining.ongoing.commun...	Develop.a.district.wide.plan.for.consistent.and...	64
2.5	1	Develop.a.district.wide.plan.for.consistent.and...	Develop.a.district.wide.plan.for.consistent.and...	Develop.a.district.wide.plan.for.consistent.and...	83
2.5	1	Identify.a.process.for.monitoring.progress.of.t...	Identify.a.process.for.monitoring.progress.of.t...	Develop.a.district.wide.plan.for.consistent.and...	102
2.5	1	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Develop.a.district.wide.plan.for.consistent.and...	121
2.5	1	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Develop.a.district.wide.plan.for.consistent.and...	140
2.5	1	Use.technology.to.increase.the.quality.and.time...	Use.technology.to.increase.the.quality.and.time...	Develop.a.district.wide.plan.for.consistent.and...	159
2.5	1	Participate.in.regional..cadre..and.state.event...	Participate.in.regional..cadre..and.state.event...	Develop.a.district.wide.plan.for.consistent.and...	178
2.5	1	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	Develop.a.district.wide.plan.for.consistent.and...	197
2.5	1	Develop.and.implement.protocol.for.conducting.w...	Develop.and.implement.protocol.for.conducting.w...	Develop.a.district.wide.plan.for.consistent.and...	216
2.5	1	Annually..summarize.district.wide.fidelity.and....	Annually..summarize.district.wide.fidelity.and....	Develop.a.district.wide.plan.for.consistent.and...	235
2.5	1	Establish.district..and.building.level.goal.s.....	Establish.district..and.building.level.goal.s.....	Develop.a.district.wide.plan.for.consistent.and...	254
2.5	1	Revisit.and.revise.PD.plans.based.on.data.	Revisit.and.revise.PD.plans.based.on.data.	Develop.a.district.wide.plan.for.consistent.and...	273
2.5	1	Develop.timelines.and.expectations.aligning.imp...	Develop.timelines.and.expectations.aligning.imp...	Develop.a.district.wide.plan.for.consistent.and...	292
2.5	1	Align.implementation.goals.with.CSIP..Comprehen...	Align.implementation.goals.with.CSIP..Comprehen...	Develop.a.district.wide.plan.for.consistent.and...	311
5	1	Teacher_leader_growth_mindset_In_Place	Teacher_leader_growth_mindset_In_Place	Develop.a.district.wide.plan.for.consistent.and...	330
8.5	1	Total_amount_in_place	Total_amount_in_place	Develop.a.district.wide.plan.for.consistent.and...	349
2.5	1	Form.district.leadership.team..DLT....see.Bluep...	Form.district.leadership.team..DLT....see.Bluep...	Identify.a.process.for.monitoring.progress.of.t...	13
2.5	1	Designate.district.level.contact.person.	Designate.district.level.contact.person.	Identify.a.process.for.monitoring.progress.of.t...	32
2.5	1	Designate.building.level.contact.person..for.ea...	Designate.building.level.contact.person..for.ea...	Identify.a.process.for.monitoring.progress.of.t...	51
2.5	1	Develop.protocol.for.maintaining.ongoing.commun...	Develop.protocol.for.maintaining.ongoing.commun...	Identify.a.process.for.monitoring.progress.of.t...	70
2.5	1	Develop.a.district.wide.plan.for.consistent.and...	Develop.a.district.wide.plan.for.consistent.and...	Identify.a.process.for.monitoring.progress.of.t...	89
2.5	1	Identify.a.process.for.monitoring.progress.of.t...	Identify.a.process.for.monitoring.progress.of.t...	Identify.a.process.for.monitoring.progress.of.t...	108
2.5	1	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Identify.a.process.for.monitoring.progress.of.t...	127
2.5	1	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Identify.a.process.for.monitoring.progress.of.t...	146
2.5	1	Use.technology.to.increase.the.quality.and.time...	Use.technology.to.increase.the.quality.and.time...	Identify.a.process.for.monitoring.progress.of.t...	165
2.5	1	Participate.in.regional..cadre..and.state.event...	Participate.in.regional..cadre..and.state.event...	Identify.a.process.for.monitoring.progress.of.t...	184
2.5	1	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	Identify.a.process.for.monitoring.progress.of.t...	203
2.5	1	Develop.and.implement.protocol.for.conducting.w...	Develop.and.implement.protocol.for.conducting.w...	Identify.a.process.for.monitoring.progress.of.t...	222
2.5	1	Annually..summarize.district.wide.fidelity.and....	Annually..summarize.district.wide.fidelity.and....	Identify.a.process.for.monitoring.progress.of.t...	241
2.5	1	Establish.district..and.building.level.goal.s.....	Establish.district..and.building.level.goal.s.....	Identify.a.process.for.monitoring.progress.of.t...	260
2.5	1	Revisit.and.revise.PD.plans.based.on.data.	Revisit.and.revise.PD.plans.based.on.data.	Identify.a.process.for.monitoring.progress.of.t...	279
2.5	1	Develop.timelines.and.expectations.aligning.imp...	Develop.timelines.and.expectations.aligning.imp...	Identify.a.process.for.monitoring.progress.of.t...	298
2.5	1	Align.implementation.goals.with.CSIP..Comprehen...	Align.implementation.goals.with.CSIP..Comprehen...	Identify.a.process.for.monitoring.progress.of.t...	317
5	1	Teacher_leader_growth_mindset_In_Place	Teacher_leader_growth_mindset_In_Place	Identify.a.process.for.monitoring.progress.of.t...	336
8.5	1	Total_amount_in_place	Total_amount_in_place	Identify.a.process.for.monitoring.progress.of.t...	355
2.5	1	Form.district.leadership.team..DLT....see.Bluep...	Form.district.leadership.team..DLT....see.Bluep...	Administer.Self.Assessment.Practice.Profile.at....	2
2.5	1	Designate.district.level.contact.person.	Designate.district.level.contact.person.	Administer.Self.Assessment.Practice.Profile.at....	21
2.5	1	Designate.building.level.contact.person..for.ea...	Designate.building.level.contact.person..for.ea...	Administer.Self.Assessment.Practice.Profile.at....	40
2.5	1	Develop.protocol.for.maintaining.ongoing.commun...	Develop.protocol.for.maintaining.ongoing.commun...	Administer.Self.Assessment.Practice.Profile.at....	59
2.5	1	Develop.a.district.wide.plan.for.consistent.and...	Develop.a.district.wide.plan.for.consistent.and...	Administer.Self.Assessment.Practice.Profile.at....	78
2.5	1	Identify.a.process.for.monitoring.progress.of.t...	Identify.a.process.for.monitoring.progress.of.t...	Administer.Self.Assessment.Practice.Profile.at....	97
2.5	1	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	Administer.Self.Assessment.Practice.Profile.at....	116
2.5	1	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Administer.Self.Assessment.Practice.Profile.at....	135
