x	angle	showSelected1	group
1	90	Form.district.leadership.team..DLT....see.Bluep...	1
1	90	Designate.district.level.contact.person.	2
1	90	Develop.a.district.wide.plan.for.consistent.and...	3
1	90	Administer.implementation.survey..e.g..Collabor...	4
1	90	Use.technology.to.increase.the.quality.and.time...	5
1	90	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	6
1	90	Develop.and.implement.protocol.for.conducting.w...	7
1	90	Annually..summarize.district.wide.fidelity.and....	8
1	90	Develop.timelines.and.expectations.aligning.imp...	9
1	90	Align.implementation.goals.with.CSIP..Comprehen...	10
0	90	Teacher_leader_growth_mindset_In_Place	11
0	90	Total_amount_in_place	12
2	90	CFA_avg	13
2.42857142857143	90	ETLP_avg	14
1.5	90	DBDM_avg	15
1	90	PD_avg	16
1	90	Leadership_avg	17
34	90	Total.Students..All.Grades..Excludes.AE...Public.School..mean	18
0	90	Total.Students..All.Grades..Excludes.AE...Public.School..sd	19
34	90	Total.Students..All.Grades..Excludes.AE...Public.School..median	20
0.2	90	Full.Time.Equivalent..FTE..Teachers..Public.School..min	21
6.05	90	Full.Time.Equivalent..FTE..Teachers..Public.School..max	22
5.13333333333333	90	Full.Time.Equivalent..FTE..Teachers..Public.School..mean	23
0	90	Full.Time.Equivalent..FTE..Teachers..Public.School..sd	24
5.69	90	Full.Time.Equivalent..FTE..Teachers..Public.School..median	25
-0.56	90	Pupil.Teacher.Ratio..Public.School..min	26
5.1	90	Pupil.Teacher.Ratio..Public.School..max	27
4.73	90	Pupil.Teacher.Ratio..Public.School..mean	28
0	90	Pupil.Teacher.Ratio..Public.School..sd	29
4.73	90	Pupil.Teacher.Ratio..Public.School..median	30
8	90	Free.Lunch.Eligible.mean	31
0	90	Free.Lunch.Eligible.sd	32
8	90	Free.Lunch.Eligible.median	33
0	90	Reduced.Lunch.Eligible.mean	34
0	90	Reduced.Lunch.Eligible.sd	35
0	90	Reduced.Lunch.Eligible.median	36
34	90	Total.Students.mean	37
0	90	Total.Students.sd	38
34	90	Total.Students.median	39
8	90	Free.and.Reduced.Lunch.Students..Public.School..mean	40
0	90	Free.and.Reduced.Lunch.Students..Public.School..sd	41
8	90	Free.and.Reduced.Lunch.Students..Public.School..median	42
0.0146520146520147	90	Free.Reduced.Lunch.Rate.min	43
0.152849740932642	90	Free.Reduced.Lunch.Rate.max	44
0.0961013431337842	90	Free.Reduced.Lunch.Rate.mean	45
0	90	Free.Reduced.Lunch.Rate.sd	46
0.0836909871244635	90	Free.Reduced.Lunch.Rate.median	47
0	90	City..Large	48
0	90	Suburb..Large	49
0	90	Town..Distant	50
