fill	x	y	key	clickSelects	showSelected1	group	xmin	xmax	ymin	ymax	colour	size
#FFF3EE	1	8	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Designate.district.level.contact.person.	1	0.5	1.5	7.5	8.5	#FFF3EE	0
#FF0000	1	1	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	2	0.5	1.5	0.5	1.5	#FF0000	0
#FFCDBC	1	5	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Use.technology.to.increase.the.quality.and.time...	3	0.5	1.5	4.5	5.5	#FFCDBC	0
#FFDBCE	1	10	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Participate.in.regional..cadre..and.state.event...	4	0.5	1.5	9.5	10.5	#FFDBCE	0
#FFC5B1	1	5	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Annually..summarize.district.wide.fidelity.and....	5	0.5	1.5	4.5	5.5	#FFC5B1	0
#FFD5C7	1	10	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Align.implementation.goals.with.CSIP..Comprehen...	6	0.5	1.5	9.5	10.5	#FFD5C7	0
#FFD9CB	1	11	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	CFA.avg	7	0.5	1.5	10.5	11.5	#FFD9CB	0
#FFD7C9	1	10	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	ETLP.avg	8	0.5	1.5	9.5	10.5	#FFD7C9	0
#FFF1EC	1	17	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	DBDM.avg	9	0.5	1.5	16.5	17.5	#FFF1EC	0
#FFEBE4	1	11	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	PD.avg	10	0.5	1.5	10.5	11.5	#FFEBE4	0
#FFE6DC	1	11	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Leadership.avg	11	0.5	1.5	10.5	11.5	#FFE6DC	0
#FFF2EE	1	19	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Total.Students..All.Grades..Excludes.AE...Public.School..mean	12	0.5	1.5	18.5	19.5	#FFF2EE	0
#FFE8E0	1	19	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Total.Students..All.Grades..Excludes.AE...Public.School..sd	13	0.5	1.5	18.5	19.5	#FFE8E0	0
#FFF6F3	1	19	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Total.Students..All.Grades..Excludes.AE...Public.School..median	14	0.5	1.5	18.5	19.5	#FFF6F3	0
#FAF5FF	1	14	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Full.Time.Equivalent..FTE..Teachers..Public.School..min	15	0.5	1.5	13.5	14.5	#FAF5FF	0
#FFF2ED	1	19	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Full.Time.Equivalent..FTE..Teachers..Public.School..max	16	0.5	1.5	18.5	19.5	#FFF2ED	0
#FFF6F3	1	19	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Full.Time.Equivalent..FTE..Teachers..Public.School..mean	17	0.5	1.5	18.5	19.5	#FFF6F3	0
#FFEDE7	1	19	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Full.Time.Equivalent..FTE..Teachers..Public.School..sd	18	0.5	1.5	18.5	19.5	#FFEDE7	0
#FFF8F6	1	19	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Full.Time.Equivalent..FTE..Teachers..Public.School..median	19	0.5	1.5	18.5	19.5	#FFF8F6	0
#F7F1FF	1	13	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Pupil.Teacher.Ratio..Public.School..min	20	0.5	1.5	12.5	13.5	#F7F1FF	0
#FFEDE6	1	17	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Pupil.Teacher.Ratio..Public.School..max	21	0.5	1.5	16.5	17.5	#FFEDE6	0
#FFF2ED	1	18	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Pupil.Teacher.Ratio..Public.School..mean	22	0.5	1.5	17.5	18.5	#FFF2ED	0
#FFECE4	1	13	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Pupil.Teacher.Ratio..Public.School..sd	23	0.5	1.5	12.5	13.5	#FFECE4	0
#FFEEE7	1	18	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Pupil.Teacher.Ratio..Public.School..median	24	0.5	1.5	17.5	18.5	#FFEEE7	0
#FFF7F4	1	18	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Free.Lunch.Eligible.mean	25	0.5	1.5	17.5	18.5	#FFF7F4	0
#FFF4EF	1	19	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Free.Lunch.Eligible.sd	26	0.5	1.5	18.5	19.5	#FFF4EF	0
#FFF9F7	1	18	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Free.Lunch.Eligible.median	27	0.5	1.5	17.5	18.5	#FFF9F7	0
#F5EDFF	1	17	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Reduced.Lunch.Eligible.min	28	0.5	1.5	16.5	17.5	#F5EDFF	0
#F7F1FF	1	19	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Reduced.Lunch.Eligible.mean	29	0.5	1.5	18.5	19.5	#F7F1FF	0
#FFFBFA	1	20	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Reduced.Lunch.Eligible.sd	30	0.5	1.5	19.5	20.5	#FFFBFA	0
#F3EAFF	1	17	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Reduced.Lunch.Eligible.median	31	0.5	1.5	16.5	17.5	#F3EAFF	0
#FFF2EE	1	19	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Total.Students.mean	32	0.5	1.5	18.5	19.5	#FFF2EE	0
#FFE8E0	1	19	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Total.Students.sd	33	0.5	1.5	18.5	19.5	#FFE8E0	0
#FFF6F2	1	19	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Total.Students.median	34	0.5	1.5	18.5	19.5	#FFF6F2	0
#FFF6F3	1	18	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Free.and.Reduced.Lunch.Students..Public.School..mean	35	0.5	1.5	17.5	18.5	#FFF6F3	0
#FFF3EE	1	19	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Free.and.Reduced.Lunch.Students..Public.School..sd	36	0.5	1.5	18.5	19.5	#FFF3EE	0
#FFF9F7	1	18	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Free.and.Reduced.Lunch.Students..Public.School..median	37	0.5	1.5	17.5	18.5	#FFF9F7	0
#FFFFFE	1	20	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Free.Reduced.Lunch.Rate.min	38	0.5	1.5	19.5	20.5	#FFFFFE	0
#FFF6F3	1	12	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Free.Reduced.Lunch.Rate.max	39	0.5	1.5	11.5	12.5	#FFF6F3	0
#FFFBF9	1	16	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Free.Reduced.Lunch.Rate.mean	40	0.5	1.5	15.5	16.5	#FFFBF9	0
#FFF4EF	1	15	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Free.Reduced.Lunch.Rate.sd	41	0.5	1.5	14.5	15.5	#FFF4EF	0
#FFFBF9	1	14	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Free.Reduced.Lunch.Rate.median	42	0.5	1.5	13.5	14.5	#FFFBF9	0
#E5D3FF	1	6	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	City..Large	43	0.5	1.5	5.5	6.5	#E5D3FF	0
#FFF9F6	1	19	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Rural..Distant	44	0.5	1.5	18.5	19.5	#FFF9F6	0
#F2E9FF	1	15	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	Rural..Remote	45	0.5	1.5	14.5	15.5	#F2E9FF	0
