x	y	label	showSelected1	group
2	8	Administer.implementation.survey..e.g..Collabor...	Designate.district.level.contact.person.	1
2	1	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	2
2	5	Administer.implementation.survey..e.g..Collabor...	Use.technology.to.increase.the.quality.and.time...	3
2	10	Administer.implementation.survey..e.g..Collabor...	Participate.in.regional..cadre..and.state.event...	4
2	5	Administer.implementation.survey..e.g..Collabor...	Annually..summarize.district.wide.fidelity.and....	5
2	10	Administer.implementation.survey..e.g..Collabor...	Align.implementation.goals.with.CSIP..Comprehen...	6
2	11	Administer.implementation.survey..e.g..Collabor...	CFA.avg	7
2	10	Administer.implementation.survey..e.g..Collabor...	ETLP.avg	8
2	17	Administer.implementation.survey..e.g..Collabor...	DBDM.avg	9
2	11	Administer.implementation.survey..e.g..Collabor...	PD.avg	10
2	11	Administer.implementation.survey..e.g..Collabor...	Leadership.avg	11
2	19	Administer.implementation.survey..e.g..Collabor...	Total.Students..All.Grades..Excludes.AE...Public.School..mean	12
2	19	Administer.implementation.survey..e.g..Collabor...	Total.Students..All.Grades..Excludes.AE...Public.School..sd	13
2	19	Administer.implementation.survey..e.g..Collabor...	Total.Students..All.Grades..Excludes.AE...Public.School..median	14
2	14	Administer.implementation.survey..e.g..Collabor...	Full.Time.Equivalent..FTE..Teachers..Public.School..min	15
2	19	Administer.implementation.survey..e.g..Collabor...	Full.Time.Equivalent..FTE..Teachers..Public.School..max	16
2	19	Administer.implementation.survey..e.g..Collabor...	Full.Time.Equivalent..FTE..Teachers..Public.School..mean	17
2	19	Administer.implementation.survey..e.g..Collabor...	Full.Time.Equivalent..FTE..Teachers..Public.School..sd	18
2	19	Administer.implementation.survey..e.g..Collabor...	Full.Time.Equivalent..FTE..Teachers..Public.School..median	19
2	13	Administer.implementation.survey..e.g..Collabor...	Pupil.Teacher.Ratio..Public.School..min	20
2	17	Administer.implementation.survey..e.g..Collabor...	Pupil.Teacher.Ratio..Public.School..max	21
2	18	Administer.implementation.survey..e.g..Collabor...	Pupil.Teacher.Ratio..Public.School..mean	22
2	13	Administer.implementation.survey..e.g..Collabor...	Pupil.Teacher.Ratio..Public.School..sd	23
2	18	Administer.implementation.survey..e.g..Collabor...	Pupil.Teacher.Ratio..Public.School..median	24
2	18	Administer.implementation.survey..e.g..Collabor...	Free.Lunch.Eligible.mean	25
2	19	Administer.implementation.survey..e.g..Collabor...	Free.Lunch.Eligible.sd	26
2	18	Administer.implementation.survey..e.g..Collabor...	Free.Lunch.Eligible.median	27
2	17	Administer.implementation.survey..e.g..Collabor...	Reduced.Lunch.Eligible.min	28
2	19	Administer.implementation.survey..e.g..Collabor...	Reduced.Lunch.Eligible.mean	29
2	20	Administer.implementation.survey..e.g..Collabor...	Reduced.Lunch.Eligible.sd	30
2	17	Administer.implementation.survey..e.g..Collabor...	Reduced.Lunch.Eligible.median	31
2	19	Administer.implementation.survey..e.g..Collabor...	Total.Students.mean	32
2	19	Administer.implementation.survey..e.g..Collabor...	Total.Students.sd	33
2	19	Administer.implementation.survey..e.g..Collabor...	Total.Students.median	34
2	18	Administer.implementation.survey..e.g..Collabor...	Free.and.Reduced.Lunch.Students..Public.School..mean	35
2	19	Administer.implementation.survey..e.g..Collabor...	Free.and.Reduced.Lunch.Students..Public.School..sd	36
2	18	Administer.implementation.survey..e.g..Collabor...	Free.and.Reduced.Lunch.Students..Public.School..median	37
2	20	Administer.implementation.survey..e.g..Collabor...	Free.Reduced.Lunch.Rate.min	38
2	12	Administer.implementation.survey..e.g..Collabor...	Free.Reduced.Lunch.Rate.max	39
2	16	Administer.implementation.survey..e.g..Collabor...	Free.Reduced.Lunch.Rate.mean	40
