fill	x	y	key	tooltip	clickSelects	showSelected1	group	xmin	xmax	ymin	ymax	colour	size
#FFDFD4	1	-12	Administer.implementation.survey..e.g..Collabor...	0.167534705867672	Administer.implementation.survey..e.g..Collabor...	Form.district.leadership.team..DLT....see.Bluep...	1	0.5	1.5	-12.5	-11.5	#FFDFD4	0
#FFF7F4	1	-14	Administer.implementation.survey..e.g..Collabor...	0.0416079926019262	Administer.implementation.survey..e.g..Collabor...	Designate.district.level.contact.person.	2	0.5	1.5	-14.5	-13.5	#FFF7F4	0
#FFD0C0	1	-12	Administer.implementation.survey..e.g..Collabor...	0.244798515070712	Administer.implementation.survey..e.g..Collabor...	Develop.a.district.wide.plan.for.consistent.and...	3	0.5	1.5	-12.5	-11.5	#FFD0C0	0
#FF0000	1	-1	Administer.implementation.survey..e.g..Collabor...	1	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	4	0.5	1.5	-1.5	-0.5	#FF0000	0
#FFD0C0	1	-10	Administer.implementation.survey..e.g..Collabor...	0.245355759940124	Administer.implementation.survey..e.g..Collabor...	Use.technology.to.increase.the.quality.and.time...	5	0.5	1.5	-10.5	-9.5	#FFD0C0	0
#FFBAA3	1	-10	Administer.implementation.survey..e.g..Collabor...	0.36066342750557	Administer.implementation.survey..e.g..Collabor...	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	6	0.5	1.5	-10.5	-9.5	#FFBAA3	0
#FFDACD	1	-13	Administer.implementation.survey..e.g..Collabor...	0.195095221329917	Administer.implementation.survey..e.g..Collabor...	Develop.and.implement.protocol.for.conducting.w...	7	0.5	1.5	-13.5	-12.5	#FFDACD	0
#FFCAB8	1	-13	Administer.implementation.survey..e.g..Collabor...	0.276905318948109	Administer.implementation.survey..e.g..Collabor...	Annually..summarize.district.wide.fidelity.and....	8	0.5	1.5	-13.5	-12.5	#FFCAB8	0
#FFD3C4	1	-13	Administer.implementation.survey..e.g..Collabor...	0.230388680332536	Administer.implementation.survey..e.g..Collabor...	Develop.timelines.and.expectations.aligning.imp...	9	0.5	1.5	-13.5	-12.5	#FFD3C4	0
#FFD5C6	1	-16	Administer.implementation.survey..e.g..Collabor...	0.221141014012163	Administer.implementation.survey..e.g..Collabor...	Align.implementation.goals.with.CSIP..Comprehen...	10	0.5	1.5	-16.5	-15.5	#FFD5C6	0
#FFA489	1	-10	Administer.implementation.survey..e.g..Collabor...	0.46952498100492	Administer.implementation.survey..e.g..Collabor...	Teacher_leader_growth_mindset_In_Place	11	0.5	1.5	-10.5	-9.5	#FFA489	0
#FFA88D	1	-10	Administer.implementation.survey..e.g..Collabor...	0.451263638931702	Administer.implementation.survey..e.g..Collabor...	Total_amount_in_place	12	0.5	1.5	-10.5	-9.5	#FFA88D	0
#FFDBCE	1	-18	Administer.implementation.survey..e.g..Collabor...	0.188075959812672	Administer.implementation.survey..e.g..Collabor...	CFA_avg	13	0.5	1.5	-18.5	-17.5	#FFDBCE	0
#FFD3C3	1	-14	Administer.implementation.survey..e.g..Collabor...	0.232404594014709	Administer.implementation.survey..e.g..Collabor...	ETLP_avg	14	0.5	1.5	-14.5	-13.5	#FFD3C3	0
#FFF5F1	1	-23	Administer.implementation.survey..e.g..Collabor...	0.0532262846528631	Administer.implementation.survey..e.g..Collabor...	DBDM_avg	15	0.5	1.5	-23.5	-22.5	#FFF5F1	0
#FFEAE2	1	-16	Administer.implementation.survey..e.g..Collabor...	0.110304087552213	Administer.implementation.survey..e.g..Collabor...	PD_avg	16	0.5	1.5	-16.5	-15.5	#FFEAE2	0
#FFEAE3	1	-15	Administer.implementation.survey..e.g..Collabor...	0.108198151797182	Administer.implementation.survey..e.g..Collabor...	Leadership_avg	17	0.5	1.5	-15.5	-14.5	#FFEAE3	0
#FFF3EF	1	-23	Administer.implementation.survey..e.g..Collabor...	0.0609519583390635	Administer.implementation.survey..e.g..Collabor...	Total.Students..All.Grades..Excludes.AE...Public.School..mean	18	0.5	1.5	-23.5	-22.5	#FFF3EF	0
#FFE9E1	1	-22	Administer.implementation.survey..e.g..Collabor...	0.115035543292117	Administer.implementation.survey..e.g..Collabor...	Total.Students..All.Grades..Excludes.AE...Public.School..sd	19	0.5	1.5	-22.5	-21.5	#FFE9E1	0
#FFF8F5	1	-24	Administer.implementation.survey..e.g..Collabor...	0.037914243663313	Administer.implementation.survey..e.g..Collabor...	Total.Students..All.Grades..Excludes.AE...Public.School..median	20	0.5	1.5	-24.5	-23.5	#FFF8F5	0
#FCF9FF	1	-20	Administer.implementation.survey..e.g..Collabor...	-0.0259067659489887	Administer.implementation.survey..e.g..Collabor...	Full.Time.Equivalent..FTE..Teachers..Public.School..min	21	0.5	1.5	-20.5	-19.5	#FCF9FF	0
#FFF0EB	1	-23	Administer.implementation.survey..e.g..Collabor...	0.0777277420645233	Administer.implementation.survey..e.g..Collabor...	Full.Time.Equivalent..FTE..Teachers..Public.School..max	22	0.5	1.5	-23.5	-22.5	#FFF0EB	0
#FFF5F1	1	-24	Administer.implementation.survey..e.g..Collabor...	0.0519267650347386	Administer.implementation.survey..e.g..Collabor...	Full.Time.Equivalent..FTE..Teachers..Public.School..mean	23	0.5	1.5	-24.5	-23.5	#FFF5F1	0
#FFEDE6	1	-22	Administer.implementation.survey..e.g..Collabor...	0.0943762447694884	Administer.implementation.survey..e.g..Collabor...	Full.Time.Equivalent..FTE..Teachers..Public.School..sd	24	0.5	1.5	-22.5	-21.5	#FFEDE6	0
#FFF8F5	1	-24	Administer.implementation.survey..e.g..Collabor...	0.0362998558215567	Administer.implementation.survey..e.g..Collabor...	Full.Time.Equivalent..FTE..Teachers..Public.School..median	25	0.5	1.5	-24.5	-23.5	#FFF8F5	0
#F6F0FF	1	-16	Administer.implementation.survey..e.g..Collabor...	-0.0654417098539525	Administer.implementation.survey..e.g..Collabor...	Pupil.Teacher.Ratio..Public.School..min	26	0.5	1.5	-16.5	-15.5	#F6F0FF	0
#FFF5F2	1	-20	Administer.implementation.survey..e.g..Collabor...	0.0501438641143857	Administer.implementation.survey..e.g..Collabor...	Pupil.Teacher.Ratio..Public.School..max	27	0.5	1.5	-20.5	-19.5	#FFF5F2	0
#FFFAF9	1	-23	Administer.implementation.survey..e.g..Collabor...	0.023941391866489	Administer.implementation.survey..e.g..Collabor...	Pupil.Teacher.Ratio..Public.School..mean	28	0.5	1.5	-23.5	-22.5	#FFFAF9	0
