x	label	showSelected1	group
2.5	Form.district.leadership.team..DLT....see.Bluep...	Form.district.leadership.team..DLT....see.Bluep...	1
2.5	Designate.district.level.contact.person.	Designate.district.level.contact.person.	2
2.5	Develop.a.district.wide.plan.for.consistent.and...	Develop.a.district.wide.plan.for.consistent.and...	3
2.5	Administer.implementation.survey..e.g..Collabor...	Administer.implementation.survey..e.g..Collabor...	4
2.5	Use.technology.to.increase.the.quality.and.time...	Use.technology.to.increase.the.quality.and.time...	5
2.5	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	Support.the.use.of.data..e.g..SAPP..CWIS..to.in...	6
2.5	Develop.and.implement.protocol.for.conducting.w...	Develop.and.implement.protocol.for.conducting.w...	7
2.5	Annually..summarize.district.wide.fidelity.and....	Annually..summarize.district.wide.fidelity.and....	8
2.5	Develop.timelines.and.expectations.aligning.imp...	Develop.timelines.and.expectations.aligning.imp...	9
2.5	Align.implementation.goals.with.CSIP..Comprehen...	Align.implementation.goals.with.CSIP..Comprehen...	10
5	Teacher_leader_growth_mindset_In_Place	Teacher_leader_growth_mindset_In_Place	11
8.5	Total_amount_in_place	Total_amount_in_place	12
3.5	CFA_avg	CFA_avg	13
3.71428571428572	ETLP_avg	ETLP_avg	14
3.25	DBDM_avg	DBDM_avg	15
3	PD_avg	PD_avg	16
3	Leadership_avg	Leadership_avg	17
483.736842105263	Total.Students..All.Grades..Excludes.AE...Public.School..mean	Total.Students..All.Grades..Excludes.AE...Public.School..mean	18
276.867370611076	Total.Students..All.Grades..Excludes.AE...Public.School..sd	Total.Students..All.Grades..Excludes.AE...Public.School..sd	19
434.5	Total.Students..All.Grades..Excludes.AE...Public.School..median	Total.Students..All.Grades..Excludes.AE...Public.School..median	20
16.805	Full.Time.Equivalent..FTE..Teachers..Public.School..min	Full.Time.Equivalent..FTE..Teachers..Public.School..min	21
66.575	Full.Time.Equivalent..FTE..Teachers..Public.School..max	Full.Time.Equivalent..FTE..Teachers..Public.School..max	22
33.1145614035088	Full.Time.Equivalent..FTE..Teachers..Public.School..mean	Full.Time.Equivalent..FTE..Teachers..Public.School..mean	23
14.9325670972529	Full.Time.Equivalent..FTE..Teachers..Public.School..sd	Full.Time.Equivalent..FTE..Teachers..Public.School..sd	24
30.97	Full.Time.Equivalent..FTE..Teachers..Public.School..median	Full.Time.Equivalent..FTE..Teachers..Public.School..median	25
7.34	Pupil.Teacher.Ratio..Public.School..min	Pupil.Teacher.Ratio..Public.School..min	26
21.705	Pupil.Teacher.Ratio..Public.School..max	Pupil.Teacher.Ratio..Public.School..max	27
11.667	Pupil.Teacher.Ratio..Public.School..mean	Pupil.Teacher.Ratio..Public.School..mean	28
7.5690509642887	Pupil.Teacher.Ratio..Public.School..sd	Pupil.Teacher.Ratio..Public.School..sd	29
10.7275	Pupil.Teacher.Ratio..Public.School..median	Pupil.Teacher.Ratio..Public.School..median	30
279.65	Free.Lunch.Eligible.mean	Free.Lunch.Eligible.mean	31
192.654123005741	Free.Lunch.Eligible.sd	Free.Lunch.Eligible.sd	32
277.25	Free.Lunch.Eligible.median	Free.Lunch.Eligible.median	33
155.5	Reduced.Lunch.Eligible.mean	Reduced.Lunch.Eligible.mean	34
79.681815156701	Reduced.Lunch.Eligible.sd	Reduced.Lunch.Eligible.sd	35
148.5	Reduced.Lunch.Eligible.median	Reduced.Lunch.Eligible.median	36
483.736842105263	Total.Students.mean	Total.Students.mean	37
276.867370611076	Total.Students.sd	Total.Students.sd	38
434.5	Total.Students.median	Total.Students.median	39
279.65	Free.and.Reduced.Lunch.Students..Public.School..mean	Free.and.Reduced.Lunch.Students..Public.School..mean	40
192.654123005741	Free.and.Reduced.Lunch.Students..Public.School..sd	Free.and.Reduced.Lunch.Students..Public.School..sd	41
277.25	Free.and.Reduced.Lunch.Students..Public.School..median	Free.and.Reduced.Lunch.Students..Public.School..median	42
0.503368223684846	Free.Reduced.Lunch.Rate.min	Free.Reduced.Lunch.Rate.min	43
0.575225829698935	Free.Reduced.Lunch.Rate.max	Free.Reduced.Lunch.Rate.max	44
0.544998739923302	Free.Reduced.Lunch.Rate.mean	Free.Reduced.Lunch.Rate.mean	45
0.176797559442906	Free.Reduced.Lunch.Rate.sd	Free.Reduced.Lunch.Rate.sd	46
0.539100080076481	Free.Reduced.Lunch.Rate.median	Free.Reduced.Lunch.Rate.median	47
5	City..Large	City..Large	48
16	Suburb..Large	Suburb..Large	49
4	Town..Distant	Town..Distant	50
